Time,CH B,
8.85443E+0,-5.37256E-1,
8.90445E+0,-5.93256E-1,
8.95448E+0,-5.37256E-1,
9.0045E+0,-6.17256E-1,
9.05453E+0,-5.37256E-1,
9.10455E+0,-6.17256E-1,
9.15458E+0,-5.37256E-1,
9.2046E+0,-6.01256E-1,
9.25463E+0,-5.37256E-1,
9.30465E+0,-6.01256E-1,
9.35468E+0,-5.37256E-1,
9.4047E+0,-6.01256E-1,
9.45473E+0,-5.29256E-1,
9.50475E+0,-6.01256E-1,
9.55478E+0,-5.29256E-1,
9.6048E+0,-6.01256E-1,
9.65483E+0,-5.29256E-1,
9.70485E+0,-6.01256E-1,
9.75488E+0,-5.37256E-1,
9.8049E+0,-6.01256E-1,
9.85493E+0,-5.29256E-1,
9.90495E+0,-6.01256E-1,
9.95498E+0,-5.29256E-1,
1.0005E+1,-6.01256E-1,
1.0055E+1,-5.37256E-1,
1.01051E+1,-6.01256E-1,
1.01551E+1,-5.29256E-1,
1.02051E+1,-6.01256E-1,
1.02551E+1,-5.29256E-1,
1.03052E+1,-6.01256E-1,
1.03552E+1,-5.29256E-1,
1.04052E+1,-6.01256E-1,
1.04552E+1,-5.37256E-1,
1.05053E+1,-6.01256E-1,
1.05553E+1,-5.29256E-1,
1.06053E+1,-6.01256E-1,
1.06553E+1,-5.29256E-1,
1.07054E+1,-6.01256E-1,
1.07554E+1,-5.37256E-1,
1.08054E+1,-6.09256E-1,
1.08554E+1,-5.29256E-1,
1.09055E+1,-5.93256E-1,
1.09555E+1,-5.29256E-1,
1.10055E+1,-5.93256E-1,
1.10555E+1,-5.29256E-1,
1.11056E+1,-5.93256E-1,
1.11556E+1,-5.29256E-1,
1.12056E+1,-5.93256E-1,
1.12556E+1,-5.13256E-1,
1.13057E+1,-5.85256E-1,
1.13557E+1,-5.29256E-1,
1.14057E+1,-5.93256E-1,
1.14557E+1,-5.21256E-1,
1.15058E+1,-5.85256E-1,
1.15558E+1,-5.21256E-1,
1.16058E+1,-5.93256E-1,
1.16558E+1,-5.21256E-1,
1.17059E+1,-5.85256E-1,
1.17559E+1,-5.21256E-1,
1.18059E+1,-5.85256E-1,
1.18559E+1,-5.21256E-1,
1.1906E+1,-5.85256E-1,
1.1956E+1,-5.21256E-1,
1.2006E+1,-5.93256E-1,
1.2056E+1,-5.21256E-1,
1.21061E+1,-5.77256E-1,
1.21561E+1,-5.21256E-1,
1.22061E+1,-5.85256E-1,
1.22561E+1,-5.13256E-1,
1.23062E+1,-5.85256E-1,
1.23562E+1,-5.13256E-1,
1.24062E+1,-5.85256E-1,
1.24562E+1,-5.13256E-1,
1.25063E+1,-5.77256E-1,
1.25563E+1,-5.13256E-1,
1.26063E+1,-5.85256E-1,
1.26563E+1,-5.13256E-1,
1.27064E+1,-5.93256E-1,
1.27564E+1,-5.13256E-1,
1.28064E+1,-5.77256E-1,
1.28564E+1,-5.13256E-1,
1.29065E+1,-5.77256E-1,
1.29565E+1,-5.13256E-1,
1.30065E+1,-5.85256E-1,
1.30565E+1,-5.13256E-1,
1.31066E+1,-5.77256E-1,
1.31566E+1,-5.13256E-1,
1.32066E+1,-5.85256E-1,
1.32566E+1,-5.05256E-1,
1.33067E+1,-5.77256E-1,
1.33567E+1,-5.05256E-1,
1.34067E+1,-5.85256E-1,
1.34567E+1,-5.05256E-1,
1.35068E+1,-5.69256E-1,
1.35568E+1,-5.05256E-1,
1.36068E+1,-5.77256E-1,
1.36568E+1,-5.05256E-1,
1.37069E+1,-5.77256E-1,
1.37569E+1,-4.97256E-1,
1.38069E+1,-5.69256E-1,
1.38569E+1,-5.05256E-1,
1.3907E+1,-5.61256E-1,
1.3957E+1,-4.97256E-1,
1.4007E+1,-5.53256E-1,
1.4057E+1,-4.89256E-1,
1.41071E+1,-5.53256E-1,
1.41571E+1,-4.97256E-1,
1.42071E+1,-5.61256E-1,
1.42571E+1,-4.89256E-1,
1.43072E+1,-5.45256E-1,
1.43572E+1,-4.89256E-1,
1.44072E+1,-5.61256E-1,
1.44572E+1,-4.81256E-1,
1.45073E+1,-5.45256E-1,
1.45573E+1,-4.81256E-1,
1.46073E+1,-5.45256E-1,
1.46573E+1,-4.81256E-1,
1.47074E+1,-5.37256E-1,
1.47574E+1,-4.73256E-1,
1.48074E+1,-5.37256E-1,
1.48574E+1,-4.73256E-1,
1.49075E+1,-5.29256E-1,
1.49575E+1,-4.65256E-1,
1.50075E+1,-5.21256E-1,
1.50575E+1,-4.65256E-1,
1.51076E+1,-5.21256E-1,
1.51576E+1,-4.57256E-1,
1.52076E+1,-5.21256E-1,
1.52576E+1,-4.49256E-1,
1.53077E+1,-5.13256E-1,
1.53577E+1,-4.41256E-1,
1.54077E+1,-5.13256E-1,
1.54577E+1,-4.41256E-1,
1.55078E+1,-4.97256E-1,
1.55578E+1,-4.33256E-1,
1.56078E+1,-4.97256E-1,
1.56578E+1,-4.25256E-1,
1.57079E+1,-4.97256E-1,
1.57579E+1,-4.09256E-1,
1.58079E+1,-4.89256E-1,
1.58579E+1,-4.25256E-1,
1.5908E+1,-4.89256E-1,
1.5958E+1,-4.17256E-1,
1.6008E+1,-4.81256E-1,
1.6058E+1,-4.17256E-1,
