[s],CH2[V]
-2.3800E-03,-1.322E-01
-2.3775E-03,-9.222E-02
-2.3750E-03,-9.222E-02
-2.3725E-03,-9.222E-02
-2.3700E-03,-9.222E-02
-2.3675E-03,-9.222E-02
-2.3650E-03,-9.222E-02
-2.3625E-03,-9.222E-02
-2.3600E-03,-9.222E-02
-2.3575E-03,-9.222E-02
-2.3550E-03,-9.222E-02
-2.3525E-03,-9.222E-02
-2.3500E-03,-9.222E-02
-2.3475E-03,-9.222E-02
-2.3450E-03,-5.222E-02
-2.3425E-03,-5.222E-02
-2.3400E-03,6.278E-01
-2.3375E-03,-9.222E-02
-2.3350E-03,-9.222E-02
-2.3325E-03,-5.222E-02
-2.3300E-03,-9.222E-02
-2.3275E-03,-5.222E-02
-2.3250E-03,-9.222E-02
-2.3225E-03,-9.222E-02
-2.3200E-03,-9.222E-02
-2.3175E-03,-9.222E-02
-2.3150E-03,-5.222E-02
-2.3125E-03,-9.222E-02
-2.3100E-03,-9.222E-02
-2.3075E-03,-9.222E-02
-2.3050E-03,1.868E+00
-2.3025E-03,2.778E-02
-2.3000E-03,-5.222E-02
-2.2975E-03,-5.222E-02
-2.2950E-03,-5.222E-02
-2.2925E-03,-5.222E-02
-2.2900E-03,-9.222E-02
-2.2875E-03,-9.222E-02
-2.2850E-03,-9.222E-02
-2.2825E-03,-5.222E-02
-2.2800E-03,-9.222E-02
-2.2775E-03,-5.222E-02
-2.2750E-03,-5.222E-02
-2.2725E-03,-9.222E-02
-2.2700E-03,-9.222E-02
-2.2675E-03,-9.222E-02
-2.2650E-03,-9.222E-02
-2.2625E-03,-9.222E-02
-2.2600E-03,-9.222E-02
-2.2575E-03,-9.222E-02
-2.2550E-03,-5.222E-02
-2.2525E-03,-9.222E-02
-2.2500E-03,-1.322E-01
-2.2475E-03,-9.222E-02
-2.2450E-03,-9.222E-02
-2.2425E-03,-9.222E-02
-2.2400E-03,-9.222E-02
-2.2375E-03,-1.322E-01
-2.2350E-03,-9.222E-02
-2.2325E-03,-9.222E-02
-2.2300E-03,-9.222E-02
-2.2275E-03,-9.222E-02
-2.2250E-03,-9.222E-02
-2.2225E-03,-9.222E-02
-2.2200E-03,-9.222E-02
-2.2175E-03,-1.322E-01
