x in Angstrom	y in Volt
460,68	20137,58
460,86	20286,52
461,04	20195,70
461,22	20234,79
461,41	20392,39
461,59	20198,36
461,77	20196,33
461,95	20360,01
462,13	20395,27
462,31	20080,70
462,49	20576,27
462,68	20400,81
462,86	20346,98
463,04	20403,15
463,22	20586,42
463,40	20528,45
463,58	20364,61
463,76	20623,08
463,94	20561,92
464,12	20667,24
464,31	20660,77
464,49	20634,24
464,67	20809,63
464,85	20533,60
465,03	20787,39
465,21	20759,07
465,39	20659,36
465,57	20932,74
465,75	20823,36
465,93	20718,50
466,11	20438,49
466,29	20654,21
466,48	20641,89
466,66	20556,69
466,84	20577,44
467,02	20530,79
467,20	20348,62
467,38	20415,17
467,56	20364,53
467,74	20419,22
467,92	20104,34
468,10	20154,43
468,28	20400,11
468,46	19971,32
468,64	19879,11
468,82	19975,07
469,00	19926,77
469,18	19680,00
469,36	19986,46
469,54	19989,35
469,72	19932,63
469,90	20001,59
470,08	19928,65
470,26	19697,17
470,44	19854,76
470,62	19693,35
470,80	19760,21
470,98	19694,44
471,16	19679,15
471,34	19575,46
471,52	19611,50
471,70	19564,38
471,88	19824,42
472,06	19611,66
472,24	19720,73
472,42	19497,68
472,60	19479,34
472,78	19315,35
472,96	19617,90
473,14	19537,08
473,32	19381,66
473,50	19559,23
473,68	19418,72
473,86	19370,59
474,04	19391,10
474,22	19350,93
474,40	19273,06
474,58	19405,15
474,76	19053,05
474,94	19222,74
475,12	19164,07
475,30	19124,52
475,48	19059,14
475,66	19072,09
475,84	18974,65
476,02	18941,96
476,19	18934,31
476,37	19065,93
476,55	18955,30
476,73	18979,01
476,91	18805,50
477,09	18792,55
477,27	18761,19
477,45	18705,33
477,63	18693,55
477,81	18791,93
477,99	18616,39
478,16	18577,77
478,34	18531,35
478,52	18637,37
478,70	18501,70
478,88	18390,84
479,06	18434,45
479,24	18342,78
479,42	18336,85
479,60	18225,52
479,77	18411,75
479,95	18217,48
480,13	18378,59
480,31	18259,07
480,49	18094,45
480,67	18255,94
480,85	18009,88
481,02	17949,02
481,20	18014,48
481,38	17994,58
481,56	17952,06
481,74	17852,28
481,92	17789,55
482,10	17815,22
482,27	17776,60
482,45	17782,22
482,63	17786,75
482,81	17639,60
482,99	17495,89
483,17	17604,73
483,34	17602,62
483,52	17601,92
483,70	17503,85
483,88	17478,42
484,06	17450,02
484,23	17422,56
484,41	17239,84
484,59	17328,86
484,77	17248,81
484,95	17188,27
485,12	17165,88
485,30	17045,65
485,48	17091,68
485,66	16969,74
485,84	16989,64
486,01	16894,38
486,19	16736,55
486,37	16921,37
486,55	16826,58
486,72	16920,67
486,90	16699,33
487,08	16615,31
487,26	16753,24
487,43	16656,50
487,61	16615,31
487,79	16500,78
487,97	16486,50
488,14	16542,91
488,32	16324,85
488,50	16478,46
488,68	16223,81
488,85	16307,92
489,03	16316,19
489,21	16180,12
489,39	16138,85
489,56	16147,82
489,74	16186,36
489,92	16028,38
490,10	16080,88
490,27	16032,90
490,45	15871,80
490,63	15792,69
490,80	16039,77
490,98	15947,01
491,16	15812,50
491,33	15661,62
491,51	15755,16
491,69	15606,93
491,87	15415,16
492,04	15514,55
492,22	15615,35
492,40	15612,00
492,57	15645,15
492,75	15537,41
492,93	15455,03
493,10	15286,51
493,28	15373,34
493,46	15296,49
493,63	15176,74
493,81	15249,99
493,99	15128,75
494,16	15286,43
494,34	15220,35
494,52	15188,75
494,69	15057,06
494,87	15041,69
495,05	14978,02
495,22	15008,76
495,40	14935,04
495,57	14935,27
495,75	14929,03
495,93	14808,02
496,10	14762,85
496,28	14684,68
496,46	14744,36
496,63	14868,10
496,81	14672,51
496,98	14663,69
497,16	14594,80
497,34	14567,03
497,51	14663,53
497,69	14567,81
497,86	14615,94
498,04	14480,66
498,22	14405,06
498,39	14423,01
498,57	14491,27
498,74	14500,09
498,92	14437,13
499,10	14494,94
499,27	14513,27
499,45	14535,43
499,62	14638,10
499,80	14681,87
499,97	14850,54
500,15	14928,48
500,33	15001,82
500,50	14968,82
500,68	15220,35
500,85	15230,41
501,03	15408,53
501,20	15638,60
501,38	15721,38
501,55	15877,73
501,73	16083,38
501,90	16330,54
502,08	16560,23
502,25	16672,49
502,43	16915,29
502,61	17015,93
502,78	17219,79
502,96	17369,51
503,13	17582,34
503,31	17631,72
503,48	17758,42
503,66	18145,71
503,83	18263,98
504,01	18629,18
504,18	18990,17
504,36	19168,83
504,53	19362,39
504,71	19813,57
504,88	19747,80
505,06	19945,11
505,23	20235,10
505,41	20658,89
505,58	20850,82
