x in Angstrom	y in Volt
4054,80000	-0,25132
4055,00000	-0,24084
4055,20000	-0,23994
4055,40000	-0,23692
4055,60000	-0,23003
4055,80000	-0,24816
4056,00000	-0,24548
4056,20000	-0,23513
4056,40000	-0,25825
4056,60000	-0,27451
4056,80000	-0,27637
4057,00000	-0,29379
4057,20000	-0,24691
4057,40000	-0,25854
4057,60000	-0,24581
4057,80000	-0,25010
4058,00000	-0,26321
4058,20000	-0,24577
4058,40000	-0,24864
4058,60000	-0,23697
4058,80000	-0,21372
4059,00000	-0,20740
4059,20000	-0,24548
4059,40000	-0,27174
4059,60000	-0,30747
4059,80000	-0,26552
4060,00000	-0,25902
4060,20000	-0,20535
4060,40000	-0,26865
4060,60000	-0,24004
4060,80000	-0,24635
4061,00000	-0,25285
4061,20000	-0,34191
4061,40000	-0,27050
4061,60000	-0,26557
4061,80000	-0,27890
4062,00000	-0,25787
4062,20000	-0,26715
4062,40000	-0,25930
4062,60000	-0,28052
4062,80000	-0,25643
4063,00000	-0,20776
4063,20000	-0,27087
4063,40000	-0,27365
4063,60000	-0,25115
4063,80000	-0,29781
4064,00000	-0,24806
4064,20000	-0,23869
4064,40000	-0,23070
4064,60000	-0,26841
4064,80000	-0,26509
4065,00000	-0,24524
4065,20000	-0,25050
4065,40000	-0,28336
4065,60000	-0,24667
4065,80000	-0,26317
4066,00000	-0,25232
4066,20000	-0,26987
4066,40000	-0,27738
4066,60000	-0,28705
4066,80000	-0,22831
4067,00000	-0,27480
4067,20000	-0,26170
4067,40000	-0,25539
4067,60000	-0,28815
4067,80000	-0,22120
4068,00000	-0,21549
4068,20000	-0,25993
4068,40000	-0,25667
4068,60000	-0,24165
4068,80000	-0,26552
4069,00000	-0,29049
4069,20000	-0,25146
4069,40000	-0,28915
4069,60000	-0,25639
4069,80000	-0,25792
4070,00000	-0,27212
4070,20000	-0,25969
4070,40000	-0,31068
4070,60000	-0,30101
4070,80000	-0,22303
4071,00000	-0,26240
4071,20000	-0,25160
4071,40000	-0,25720
4071,60000	-0,30098
4071,80000	-0,27404
4072,00000	-0,25471
4072,20000	-0,26820
4072,40000	-0,26345
4072,60000	-0,27801
4072,80000	-0,28792
4073,00000	-0,29991
4073,20000	-0,27604
4073,40000	-0,23579
4073,60000	-0,28140
4073,80000	-0,24289
4074,00000	-0,25323
4074,20000	-0,24905
4074,40000	-0,26901
4074,60000	-0,29035
4074,80000	-0,26621
4075,00000	-0,23308
4075,20000	-0,26949
4075,40000	-0,29035
4075,60000	-0,24902
4075,80000	-0,25045
4076,00000	-0,27533
4076,20000	-0,28011
4076,40000	-0,22639
4076,60000	-0,28381
4076,80000	-0,28296
4077,00000	-0,27461
4077,20000	-0,26045
4077,40000	-0,29173
4077,60000	-0,24934
4077,80000	-0,26399
4078,00000	-0,28687
4078,20000	-0,29843
4078,40000	-0,26504
4078,60000	-0,29193
4078,80000	-0,27997
4079,00000	-0,21391
4079,20000	-0,24974
4079,40000	-0,32673
4079,60000	-0,25816
4079,80000	-0,27451
4080,00000	-0,26605
4080,20000	-0,27624
4080,40000	-0,31168
4080,60000	-0,28298
4080,80000	-0,23513
