x in Angstrom	y in Volt
4000,00000	-0,15015
4000,20000	-0,08349
4000,40000	-0,12587
4000,60000	-0,08435
4000,80000	-0,08805
4001,00000	-0,07198
4001,20000	-0,12236
4001,40000	-0,12202
4001,60000	-0,08899
4001,80000	-0,01673
4002,00000	0,00215
4002,20000	-0,08000
4002,40000	-0,01384
4002,60000	-0,01141
4002,80000	0,12615
4003,00000	0,25935
4003,20000	9,97920
4003,40000	16,61806
4003,60000	16,85178
4003,80000	16,83767
4004,00000	16,36973
4004,20000	15,38242
4004,40000	14,66622
4004,60000	14,67971
4004,80000	15,03981
4005,00000	15,19965
4005,20000	15,39147
4005,40000	15,20245
4005,60000	15,30532
4005,80000	14,84709
4006,00000	14,09123
4006,20000	13,61722
4006,40000	10,13597
4006,60000	1,75898
4006,80000	1,51441
4007,00000	1,37514
4007,20000	1,29851
4007,40000	1,16730
4007,60000	1,14285
4007,80000	1,10802
4008,00000	1,12778
4008,20000	1,13256
4008,40000	1,13247
4008,60000	1,09555
4008,80000	1,06279
4009,00000	0,97429
4009,20000	0,87022
4009,40000	0,86018
4009,60000	0,21699
4009,80000	-0,13060
4010,00000	-0,10293
4010,20000	-0,11458
4010,40000	-0,13534
4010,60000	-0,16552
4010,80000	-0,15609
4011,00000	-0,17036
4011,20000	-0,18448
4011,40000	-0,13145
4011,60000	-0,17941
4011,80000	-0,16438
4012,00000	-0,16595
4012,20000	-0,23408
4012,40000	-0,20160
4012,60000	-0,20410
4012,80000	-0,24158
4013,00000	-0,27357
4013,20000	-0,23983
4013,40000	-0,20007
4013,60000	-0,20069
4013,80000	-0,20742
4014,00000	-0,22665
4014,20000	-0,20925
4014,40000	-0,24973
4014,60000	-0,25632
4014,80000	-0,25360
4015,00000	-0,24976
4015,20000	-0,25778
4015,40000	-0,23983
4015,60000	-0,25746
4015,80000	-0,21072
4016,00000	-0,24229
4016,20000	-0,25386
4016,40000	-0,28807
4016,60000	-0,27693
4016,80000	-0,25274
4017,00000	-0,25618
4017,20000	-0,28324
4017,40000	-0,29329
4017,60000	-0,25665
4017,80000	-0,25272
4018,00000	-0,22475
