x in Angstrom	y in Volt
6457,80000	2,47765
6458,00000	2,61121
6458,20000	2,53458
6458,40000	2,70722
6458,60000	2,32277
6458,80000	2,25098
6459,00000	2,28872
6459,20000	2,59366
6459,40000	2,18210
6459,60000	2,33340
6459,80000	2,30551
6460,00000	2,12989
6460,20000	2,23233
6460,40000	2,32778
6460,60000	2,21047
6460,80000	2,01583
6461,00000	2,08230
6461,20000	2,57290
6461,40000	1,69650
6461,60000	2,34268
6461,80000	2,42136
6462,00000	2,27652
6462,20000	2,65297
6462,40000	2,30398
6462,60000	2,66031
6462,80000	2,28547
6463,00000	2,28274
6463,20000	2,36660
6463,40000	2,37401
6463,60000	1,93586
6463,80000	2,72357
6464,00000	2,52080
6464,20000	2,42519
6464,40000	2,38762
6464,60000	2,45782
6464,80000	2,24352
6465,00000	2,30800
6465,20000	2,49130
6465,40000	2,59051
6465,60000	2,80280
6465,80000	2,62035
6466,00000	2,43581
6466,20000	2,41352
6466,40000	2,13389
6466,60000	2,38712
6466,80000	2,09438
6467,00000	2,03009
6467,20000	2,14881
6467,40000	2,35071
6467,60000	1,63135
6467,80000	2,20358
6468,00000	1,88051
6468,20000	2,05027
6468,40000	2,03779
6468,60000	1,62480
6468,80000	1,84918
6469,00000	1,76141
6469,20000	2,14054
6469,40000	1,80403
6469,60000	1,85511
6469,80000	2,57998
6470,00000	1,85821
6470,20000	2,14801
6470,40000	1,88362
6470,60000	1,72827
6470,80000	2,02661
6471,00000	2,09621
6471,20000	1,94337
6471,40000	2,18990
6471,60000	2,16088
6471,80000	2,06003
6472,00000	2,14364
6472,20000	2,26509
6472,40000	1,96872
6472,60000	1,97345
6472,80000	2,70071
6473,00000	2,46585
6473,20000	2,60148
6473,40000	2,50407
6473,60000	2,87535
6473,80000	2,76576
6474,00000	2,83765
6474,20000	2,63250
6474,40000	2,64498
6474,60000	2,43378
6474,80000	2,36363
6475,00000	2,41232
6475,20000	1,90787
6475,40000	2,59644
6475,60000	2,47121
6475,80000	2,26817
6476,00000	2,37485
6476,20000	2,70436
6476,40000	2,14235
6476,60000	1,97374
6476,80000	2,45954
6477,00000	2,03566
6477,20000	2,16244
6477,40000	2,12729
6477,60000	1,86872
6477,80000	1,94719
6478,00000	2,35451
6478,20000	2,55350
6478,40000	2,30012
6478,60000	1,94319
6478,80000	1,95999
6479,00000	1,74603
6479,20000	2,11351
6479,40000	2,02942
6479,60000	1,95432
6479,80000	1,96738
6480,00000	2,32187
6480,20000	2,05917
6480,40000	1,80585
6480,60000	2,36372
6480,80000	2,40835
6481,00000	2,37989
6481,20000	2,26404
6481,40000	2,21300
6481,60000	2,07906
6481,80000	2,14429
6482,00000	2,01498
6482,20000	2,29357
6482,40000	2,36750
6482,60000	1,89665
6482,80000	2,28552
6483,00000	1,59027
6483,20000	1,96378
6483,40000	1,89926
6483,60000	1,65102
6483,80000	1,98230
6484,00000	2,13178
6484,20000	1,90006
6484,40000	1,78078
6484,60000	1,77899
6484,80000	1,54343
6485,00000	1,85697
6485,20000	1,82321
6485,40000	1,95744
6485,60000	1,69065
6485,80000	1,74840
6486,00000	1,86949
6486,20000	1,99674
6486,40000	2,04626
6486,60000	2,04645
6486,80000	2,22472
6487,00000	1,62308
6487,20000	2,11471
6487,40000	2,17502
6487,60000	2,14881
6487,80000	2,14631
6488,00000	1,76615
6488,20000	2,21524
6488,40000	2,56788
6488,60000	2,24434
6488,80000	2,45729
6489,00000	2,05262
6489,20000	2,51511
6489,40000	2,16091
6489,60000	1,88144
6489,80000	2,33636
6490,00000	2,26895
6490,20000	2,51904
6490,40000	2,62842
6490,60000	2,67742
6490,80000	2,80871
6491,00000	2,38468
6491,20000	2,34733
6491,40000	2,49476
6491,60000	2,77168
6491,80000	2,44241
6492,00000	2,20262
6492,20000	2,33464
6492,40000	2,35210
6492,60000	2,45298
6492,80000	2,23861
6493,00000	2,26863
6493,20000	2,32618
6493,40000	2,30961
6493,60000	1,93648
6493,80000	2,11700
6494,00000	1,67631
6494,20000	2,00858
6494,40000	1,90218
6494,60000	2,47626
6494,80000	2,59719
6495,00000	1,86210
6495,20000	2,03514
6495,40000	2,14269
6495,60000	2,40357
6495,80000	1,79685
6496,00000	2,10066
6496,20000	2,11322
6496,40000	2,03805
6496,60000	1,93205
6496,80000	2,21809
6497,00000	2,61054
6497,20000	2,34990
6497,40000	2,10169
6497,60000	2,40668
6497,80000	1,71666
6498,00000	1,85858
6498,20000	2,28560
6498,40000	1,72836
6498,60000	1,64962
6498,80000	2,02779
6499,00000	2,03090
6499,20000	1,63910
6499,40000	1,95999
6499,60000	1,87131
6499,80000	1,86439
6500,00000	1,68233
6500,20000	1,69157
6500,40000	1,60275
6500,60000	1,67574
6500,80000	1,83392
6501,00000	1,89548
6501,20000	1,69913
6501,40000	1,78108
6501,60000	1,88037
6501,80000	1,91352
6502,00000	2,33860
6502,20000	1,75706
6502,40000	2,03590
6502,60000	1,79360
6502,80000	2,01191
6503,00000	1,95346
6503,20000	1,82168
6503,40000	1,86648
6503,60000	1,76859
6503,80000	1,59659
6504,00000	1,54691
6504,20000	1,92730
6504,40000	2,08688
6504,60000	1,86942
6504,80000	2,09859
6505,00000	2,05864
6505,20000	1,82338
6505,40000	1,98541
6505,60000	2,02971
6505,80000	1,82522
6506,00000	1,98733
6506,20000	2,13032
6506,40000	2,33527
6506,60000	1,92246
6506,80000	2,12641
6507,00000	2,68684
6507,20000	2,69578
6507,40000	2,70745
6507,60000	2,62284
6507,80000	2,59170
6508,00000	2,38886
6508,20000	2,16106
6508,40000	2,39391
6508,60000	2,56415
6508,80000	2,14200
6509,00000	2,68526
6509,20000	2,74434
6509,40000	3,02454
6509,60000	2,74314
6509,80000	2,68891
6510,00000	2,67077
6510,20000	2,63619
6510,40000	2,50364
6510,60000	2,71984
6510,80000	2,74821
6511,00000	2,57144
6511,20000	3,06611
6511,40000	2,99495
