Vernier Format 2
Bandlücke2-Si1.cmbl 26.09.2019 13:36:52 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

35	-51,7916867563	0,144078	0,046398	-1297,88865499	-0,95462734437
35,5	-51,3352656023	0,148962	0,0500611	-1289,70910241	-0,960681751945
36	-51,0087160413	0,163614	0,04884	-1283,80673279	-0,96509853731
36,5	-50,8131069753	0,156288	0,047619	-1280,25112311	-0,96777888153
37	-50,2257453263	0,172161	0,046398	-1269,4850716	-0,97598627012
37,5	-50,0301362603	0,179487	0,047619	-1265,86998389	-0,978773504209
38	-49,5731806553	0,162393	0,043956	-1257,36748291	-0,985392112361
38,5	-49,1814280723	0,173382	0,046398	-1250,01451074	-0,991188493697
39	-48,9206159843	0,163614	0,046398	-1245,08679219	-0,995111351088
39,5	-48,4636603793	0,169719	0,047619	-1236,39105023	-1,00211013317
40	-48,0724422473	0,175824	0,047619	-1228,88376754	-1,00823204987
40,5	-47,8762987303	0,180708	0,04884	-1225,09828513	-1,01134742823
41	-47,2889370813	0,186813	0,046398	-1213,67677425	-1,02086488453
41,5	-47,0281249933	0,192918	0,0525031	-1208,56420251	-1,02518343455
42	-46,5059663663	0,194139	0,04884	-1198,2534332	-1,03400496562
42,5	-46,3103573003	0,191697	0,0512821	-1194,36518226	-1,03737116453
43	-45,9838077393	0,188034	0,045177	-1187,84314506	-1,04306701197
43,5	-45,4621835633	0,189255	0,04884	-1177,34500915	-1,05236781943
44	-45,1356340023	0,184371	0,045177	-1170,72319635	-1,05832019376
44,5	-44,6786783973	0,19536	0,043956	-1161,39320169	-1,06682215653
45	-44,3526632873	0,194139	0,0512821	-1154,6915266	-1,07301384955
45,5	-44,1570542213	0,199023	0,0561661	-1150,65256292	-1,07678028967
46	-43,5696925723	0,214896	0,0500611	-1138,44422894	-1,08832735808
46,5	-43,3735490553	0,206349	0,0525031	-1134,34066773	-1,09226446274
47	-43,0475339453	0,210012	0,0573871	-1127,49064735	-1,09890046797
47,5	-42,5253753183	0,222222	0,0610501	-1116,44342399	-1,10977410353
48	-42,2645632303	0,224664	0,0720391	-1110,89068418	-1,11532126216
48,5	-41,7424046033	0,20757	0,0805861	-1099,70476789	-1,12666602544
49	-41,4815925153	0,21978	0,0940171	-1094,08327249	-1,13245493387
49,5	-41,1550429543	0,208791	0,100122	-1087,01293598	-1,13982084204
50	-40,6328843273	0,206349	0,119658	-1075,63406623	-1,151878728
50,5	-40,4372752613	0,214896	0,124542	-1071,34830498	-1,1564866386
51	-40,1107257003	0,217338	0,141636	-1064,16586158	-1,16429218859
51,5	-39,5891015243	0,210012	0,152625	-1052,62114799	-1,17706166399
52	-39,3277549853	0,202686	0,168498	-1046,80409625	-1,18360255222
52,5	-38,8055963583	0,192918	0,190476	-1035,11678167	-1,19696639253
53	-38,5447842703	0,189255	0,203907	-1029,24684998	-1,20379285107
53,5	-38,2839721823	0,184371	0,222222	-1023,35559134	-1,21072285185
54	-37,6966105333	0,156288	0,245421	-1010,01072449	-1,22671964758
54,5	-37,5004670163	0,145299	0,275946	-1005,53062989	-1,23218523949
55	-37,2396549283	0,129426	0,304029	-999,555203363	-1,23955134827
55,5	-36,7174963013	0,0903541	0,332112	-987,529988991	-1,25464544248
56	-36,3914811913	0,0622711	0,365079	-979,980268458	-1,26431117021
56,5	-35,9345255863	0,047619	0,373626	-969,344936041	-1,27818277471
57	-35,6085104763	0,017094	0,389499	-961,719429022	-1,28831753067
57,5	-35,1515548713	0,00732601	0,399267	-950,978866926	-1,30286806899
58	-34,8250053103	0,00854701	0,396825	-943,266349535	-1,31352083175
58,5	-34,5641932223	0,00610501	0,394383	-937,084413196	-1,32218611531
59	-34,0420345953	0,00732601	0,388278	-924,649650279	-1,3399669806
59,5	-33,7812225073	0,00610501	0,379731	-918,409808899	-1,34907095721
60	-33,2590638803	0,00854701	0,363858	-905,860281287	-1,36776059796
60,5	-32,9982517923	0,00854701	0,344322	-899,563700099	-1,37733436761
61	-32,6717022313	0,00732601	0,333333	-891,653807168	-1,38955275023
61,5	-32,2147466263	0,00732601	0,316239	-880,536570663	-1,40709658324
62	-31,8887315163	0,00732601	0,296703	-872,570699962	-1,41994224658
62,5	-31,6931224503	0,00732601	0,28083	-867,777600648	-1,4277851826
63	-31,1057608013	0,00610501	0,266178	-853,324648281	-1,45196790283
63,5	-30,9096172843	0,00854701	0,249084	-848,478181419	-1,46026147417
64	-30,3222556353	0,00610501	0,240537	-833,905946538	-1,48577906794
64,5	-30,0614435473	0,00732601	0,227106	-827,407103116	-1,49744907354
65	-29,8006314593	0,00610501	0,227106	-820,891115043	-1,50933537627
65,5	-29,2784728323	0,00610501	0,212454	-807,794806263	-1,53380535551
66	-28,9519232713	0,00732601	0,20757	-799,570419173	-1,54958208844
66,5	-28,6911111833	0,00610501	0,201465	-792,983009236	-1,56245466242
67	-28,1689525563	0,00732601	0,194139	-779,745449657	-1,5889800967
67,5	-27,9733434903	0,00732601	0,18315	-774,769712285	-1,59918486791
68	-27,3859818413	0,00610501	0,18315	-759,77486992	-1,63074622372
68,5	-27,1251697533	0,00732601	0,179487	-753,090866909	-1,64521979278
69	-26,8638232143	0,00610501	0,174603	-746,377514518	-1,6600178541
69,5	-26,3416645873	0,00610501	0,177045	-732,918170037	-1,69050250172
70	-26,0808524993	0,00732601	0,177045	-726,172520285	-1,70620612236
70,5	-25,5586938723	0,00610501	0,173382	-712,622320298	-1,73864888133
71	-25,2978817843	0,00610501	0,173382	-705,831920076	-1,75537541553
71,5	-24,9713322233	0,00732601	0,177045	-697,309402152	-1,77682961993
72	-24,4491735963	0,00610501	0,173382	-683,634791407	-1,81237118938
72,5	-24,2535645303	0,00732601	0,161172	-678,497380929	-1,82609400541
73	-23,9275494203	0,00732601	0,155067	-669,917485854	-1,84948150506
