Vernier Format 2
Bandlücke2-Si2.cmbl 26.09.2019 13:43:13 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

36	-58,6221486867	0,802198	0,017094	-1410,18265287	-0,878609588254
36,5	-58,3613365987	0,770452	0,018315	-1406,25316914	-0,881064681087
37	-58,0347870377	0,764347	0,010989	-1401,29219086	-0,88418390403
37,5	-57,5131628617	0,746032	0,013431	-1393,27325713	-0,889272792441
38	-57,2518163227	0,753358	0,013431	-1389,21210915	-0,891872444704
38,5	-57,0562072567	0,738706	0,01221	-1386,15355948	-0,893840362441
39	-56,4688456077	0,753358	0,015873	-1376,87260498	-0,899865387341
39,5	-56,2732365417	0,757021	0,01221	-1373,74960183	-0,901911089437
40	-55,6858748927	0,775336	0,020757	-1364,27598264	-0,908174017404
40,5	-55,4245283537	0,774115	0,019536	-1360,01454734	-0,911019666977
41	-55,1637162657	0,765568	0,019536	-1355,73361692	-0,913896346996
41,5	-54,6415576387	0,805861	0,025641	-1347,07865311	-0,919768119804
42	-54,3155425287	0,837607	0,018315	-1341,6180582	-0,923511719616
42,5	-53,8585869237	0,879121	0,017094	-1333,89120446	-0,928861361303
43	-53,5320373627	0,887668	0,017094	-1328,31743257	-0,932758969821
43,5	-53,3364282967	0,901099	0,015873	-1324,9579671	-0,935124004509
44	-52,7490666477	0,898657	0,019536	-1314,7777435	-0,942364598221
44,5	-52,5534575817	0,897436	0,018315	-1311,35670056	-0,944823021433
45	-52,2269080207	0,913309	0,017094	-1305,61157889	-0,948980554428
45,5	-51,7052838447	0,920635	0,018315	-1296,3465271	-0,955762964682
46	-51,3787342837	0,960928	0,014652	-1290,49164169	-0,960099205587
46,5	-50,9217786787	0,948718	0,01221	-1282,2283067	-0,966286575898
47	-50,5957635687	0,958486	0,019536	-1276,28294637	-0,970787867632
47,5	-50,4001545027	0,949939	0,019536	-1272,69588348	-0,973524010003
48	-49,8127928537	0,969475	0,015873	-1261,83591706	-0,981902625568
48,5	-49,5514463147	0,971917	0,015873	-1256,96107872	-0,985710712111
49	-49,2906342267	0,978022	0,021978	-1252,0701372	-0,989561178073
49,5	-48,7684755997	1,01221	0,023199	-1242,20036884	-0,99742362913
50	-48,4424604897	0,997558	0,020757	-1235,98570887	-1,00243877507
50,5	-48,0507079067	1,00611	0,021978	-1228,46501315	-1,0085757321
51	-47,6589553237	1,00733	0,020757	-1220,88688733	-1,01483602852
51,5	-47,4633462577	1,01954	0,015873	-1217,08160692	-1,0180089757
52	-46,8759846087	1,03907	0,014652	-1205,57029737	-1,02772936817
52,5	-46,6803755427	1,05495	0,017094	-1201,70850344	-1,03103206514
53	-46,3538259817	1,06838	0,020757	-1195,23044267	-1,03662018282
53,5	-45,8974048277	1,06593	0,018315	-1186,11099206	-1,04459026878
54	-45,5708552667	1,08425	0,019536	-1179,54019697	-1,05040930626
54,5	-45,3100431787	1,0928	0,019536	-1174,26463256	-1,05512843157
55	-44,7878845517	1,10867	0,02442	-1163,62968309	-1,06477173796
55,5	-44,5270724637	1,12943	0,019536	-1158,28140374	-1,06968824329
56	-44,2657259247	1,13187	0,019536	-1152,89809039	-1,07468301867
56,5	-43,7435672977	1,1453	0,020757	-1142,07074575	-1,08487149733
57	-43,4175521877	1,15507	0,019536	-1135,26242518	-1,09137761676
57,5	-43,2219431217	1,16239	0,014652	-1131,15977593	-1,09533597849
58	-42,6345814727	1,17705	0,020757	-1118,76157958	-1,10747457065
58,5	-42,3732349337	1,17949	0,018315	-1113,20712979	-1,1130004173
59	-42,0472198237	1,19658	0,015873	-1106,24581237	-1,12000423969
59,5	-41,5902642187	1,22589	0,019536	-1096,42832402	-1,13003282828
60	-41,3294521307	1,23199	0,020757	-1090,79359002	-1,13587026119
60,5	-41,0681055917	1,26129	0,021978	-1085,12463772	-1,14180432085
61	-40,4807439427	1,26496	0,017094	-1072,30177727	-1,15545831058
61,5	-40,2851348767	1,30281	0,013431	-1068,00629948	-1,1601055168
62	-39,6977732277	1,28449	0,014652	-1055,0335232	-1,17437026668
62,5	-39,4369611397	1,31868	0,017094	-1049,23746299	-1,18085756914
63	-39,1756146007	1,33455	0,01221	-1043,40771763	-1,18745527665
63,5	-38,6539904247	1,37363	0,013431	-1031,70728583	-1,20092202219
64	-38,3274408637	1,36752	0,017094	-1024,33894364	-1,20956057337
64,5	-37,8704852587	1,40415	0,019536	-1013,97228436	-1,22192689003
65	-37,5444701487	1,40781	0,018315	-1006,53672822	-1,23095359092
65,5	-37,3488610827	1,42735	0,019536	-1002,05973682	-1,23645323175
66	-36,7614994337	1,45177	0,02442	-988,546551419	-1,25335523979
66,5	-36,5001528947	1,47497	0,019536	-982,500379424	-1,26106821529
67	-36,1089347627	1,50916	0,018315	-973,411503873	-1,27284298066
67,5	-35,7171821797	1,50794	0,015873	-964,26473658	-1,28491684182
68	-35,4563700917	1,52015	0,015873	-958,150188233	-1,29311669007
68,5	-35,1950235527	1,56777	0,014652	-952,003195322	-1,30146621995
69	-34,6728649257	1,58608	0,018315	-939,662587102	-1,31855840278
69,5	-34,4120528377	1,58486	0,017094	-933,46930843	-1,32730662788
70	-33,8246911887	1,63248	0,014652	-919,451107509	-1,34754310467
70,5	-33,6290821227	1,64103	0,018315	-914,761104814	-1,35445199132
71	-33,3025325617	1,65324	0,018315	-906,907890115	-1,36618063808
71,5	-32,7809083857	1,69841	0,018315	-894,302304821	-1,38543755654
72	-32,5195618467	1,68742	0,018315	-887,958659016	-1,39533523033
72,5	-32,3239527807	1,74237	0,025641	-883,198558221	-1,40285555096
73	-31,7365911317	1,74725	0,019536	-868,843609883	-1,42603339186
73,5	-31,4757790437	1,75824	0,017094	-862,44007459	-1,43662155378
74	-30,9536204167	1,8022	0,018315	-849,566312274	-1,45839116041
74,5	-30,6922738777	1,8254	0,017094	-843,096279786	-1,46958304728
75	-30,3662587677	1,85836	0,01221	-835,000704509	-1,48383108339
75,5	-29,8441001407	1,9072	0,015873	-821,97829793	-1,50733906615
76	-29,5832880527	1,9475	0,018315	-815,448125771	-1,5194099549
76,5	-29,3871445357	2,02442	0,018315	-810,525975895	-1,52863700467
77	-28,7997828867	2,06593	0,014652	-795,729768083	-1,55706126589
77,5	-28,5389707987	2,15873	0,019536	-789,132756581	-1,57007802511
78	-28,2781587107	2,23199	0,015873	-782,519393508	-1,58334733973
78,5	-27,7560000837	2,30769	0,015873	-769,230526567	-1,61070050812
79	-27,4294505227	2,40904	0,017094	-760,887343564	-1,62836195198
79,5	-27,2338414567	2,43956	0,018315	-755,87777253	-1,63915390163
80	-26,7116828297	2,51526	0,018315	-742,462240385	-1,66877173357
80,5	-26,4508707417	2,47741	0,013431	-735,738177759	-1,68402298189
