Vernier Format 2
Bandlücke2-Si1.cmbl 26.09.2019 13:31:25 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-79,22167173	0,030525	0,0744811	-1622,60710875	-0,763585955787
0,5	-79,025528213	0,028083	0,0695971	-1621,54015456	-0,764088386289
1	-78,764716125	0,028083	0,0708181	-1620,09199314	-0,764771386592
1,5	-78,242557498	0,028083	0,0683761	-1617,09185205	-0,766190243571
2	-77,916007937	0,02442	0,0659341	-1615,14733642	-0,767112678861
2,5	-77,459586783	0,015873	0,0622711	-1612,34157266	-0,768447592627
3	-77,133037222	0,02442	0,0561661	-1610,27137199	-0,769435525934
3,5	-76,610878595	0,018315	0,0622711	-1606,85242391	-0,771072676971
4	-76,350066507	0,01221	0,0634921	-1605,09470432	-0,771917069232
4,5	-76,089254419	0,015873	0,0634921	-1603,30372567	-0,772779343155
5	-75,50189277	0,00854701	0,0622711	-1599,14875643	-0,774787207894
5,5	-75,305749253	0,010989	0,0659341	-1597,72379363	-0,775478217789
6	-74,718922055	0,023199	0,0634921	-1593,34881042	-0,777607509353
6,5	-74,457575516	0,023199	0,0610501	-1591,34656705	-0,778585900556
7	-73,935416889	0,019536	0,0610501	-1587,24705784	-0,780596816279
7,5	-73,739807823	0,026862	0,0610501	-1585,67735464	-0,781369549344
8	-73,152446174	0,031746	0,0561661	-1580,85296237	-0,783754105848
8,5	-72,891634086	0,021978	0,0537241	-1578,65744538	-0,784844111449
9	-72,565084525	0,034188	0,0549451	-1575,86243799	-0,786236139734
9,5	-72,108663371	0,031746	0,0561661	-1571,8700789	-0,788233084037
10	-71,78211381	0,03663	0,0586081	-1568,95249235	-0,789698863438
10,5	-71,325158205	0,031746	0,0561661	-1564,78424696	-0,791802449703
11	-70,999143095	0,034188	0,0586081	-1561,74955941	-0,793341027399
11,5	-70,737796556	0,040293	0,0561661	-1559,2803159	-0,794597345563
12	-70,21617238	0,039072	0,0573871	-1554,25498423	-0,797166496212
12,5	-69,954825841	0,041514	0,0659341	-1551,68870279	-0,798484900854
13	-69,367464192	0,040293	0,0659341	-1545,80339884	-0,801524955199
13,5	-69,171855126	0,0549451	0,0586081	-1543,80732622	-0,802561290491
14	-68,845840016	0,0561661	0,0586081	-1540,44056366	-0,804315355769
14,5	-68,388884411	0,0525031	0,0598291	-1535,63765797	-0,806830956227
15	-68,06233485	0,0647131	0,0537241	-1532,14554657	-0,808669909185
15,5	-67,540710674	0,0586081	0,0549451	-1526,46411611	-0,811679742041
16	-67,214161113	0,0634921	0,0573871	-1522,84297709	-0,813609819685
16,5	-66,757205508	0,0622711	0,0622711	-1517,6927383	-0,81637077699
17	-66,431190398	0,0744811	0,0634921	-1513,95927447	-0,818383969038
17,5	-66,235581332	0,0634921	0,0610501	-1511,69566039	-0,819609417731
18	-65,648219683	0,0683761	0,0634921	-1504,79285401	-0,823369141275
18,5	-65,452076166	0,0695971	0,0610501	-1502,45247291	-0,824651709349
19	-64,864714517	0,0915751	0,0622711	-1495,33888313	-0,828574722413
19,5	-64,603902429	0,0805861	0,0634921	-1492,12973771	-0,830356750279
20	-64,343090341	0,0879121	0,0549451	-1488,88967397	-0,832163740312
20,5	-63,820931714	0,0915751	0,0573871	-1482,31026335	-0,835857398168
21	-63,559585175	0,0940171	0,0573871	-1478,9709268	-0,837744662557
21,5	-63,037960999	0,0989011	0,0561661	-1472,21398131	-0,841589616544
22	-62,711411438	0,0952381	0,0586081	-1467,92182632	-0,844050396816
22,5	-62,515802372	0,107448	0,0659341	-1465,32790333	-0,845544534561
