Time,CH A,CH B,
1.22061E-3,-1.16362E+0,-1.1713E-1,
1.23062E-3,-9.2362E-1,2.87E-3,
1.24062E-3,-1.16362E+0,-1.1713E-1,
1.25063E-3,-9.2362E-1,2.87E-3,
1.26063E-3,-1.16362E+0,-1.5713E-1,
1.27064E-3,-9.2362E-1,2.87E-3,
1.28064E-3,-1.16362E+0,-1.1713E-1,
1.29065E-3,-9.2362E-1,2.87E-3,
1.30065E-3,-1.16362E+0,-1.1713E-1,
1.31066E-3,-9.2362E-1,2.87E-3,
1.32066E-3,-1.16362E+0,-1.1713E-1,
1.33067E-3,-9.2362E-1,2.87E-3,
1.34067E-3,-1.16362E+0,-1.1713E-1,
1.35068E-3,-9.2362E-1,2.87E-3,
1.36068E-3,-1.16362E+0,-1.5713E-1,
1.37069E-3,-9.2362E-1,2.87E-3,
1.38069E-3,-1.16362E+0,-1.1713E-1,
1.3907E-3,-9.2362E-1,2.87E-3,
1.4007E-3,-1.16362E+0,-1.1713E-1,
1.41071E-3,-9.2362E-1,2.87E-3,
1.42071E-3,-1.16362E+0,-1.1713E-1,
1.43072E-3,-9.2362E-1,2.87E-3,
1.44072E-3,-1.16362E+0,-1.1713E-1,
1.45073E-3,-9.2362E-1,2.87E-3,
1.46073E-3,-1.16362E+0,-1.1713E-1,
1.47074E-3,-9.2362E-1,2.87E-3,
1.48074E-3,-1.16362E+0,-1.5713E-1,
1.49075E-3,-9.2362E-1,2.87E-3,
1.50075E-3,-1.16362E+0,-1.1713E-1,
1.51076E-3,-1.00362E+0,2.87E-3,
1.52076E-3,-1.16362E+0,-1.1713E-1,
1.53077E-3,-9.2362E-1,2.87E-3,
1.54077E-3,-1.24362E+0,-1.1713E-1,
1.55078E-3,-9.2362E-1,2.87E-3,
1.56078E-3,-1.16362E+0,-1.1713E-1,
1.57079E-3,-9.2362E-1,2.87E-3,
1.58079E-3,-1.16362E+0,-1.1713E-1,
1.5908E-3,-9.2362E-1,2.87E-3,
1.6008E-3,-1.16362E+0,-1.1713E-1,
1.61081E-3,-9.2362E-1,2.87E-3,
1.62081E-3,-1.16362E+0,-1.1713E-1,
1.63082E-3,-9.2362E-1,2.87E-3,
1.64082E-3,-1.16362E+0,-1.1713E-1,
1.65083E-3,-9.2362E-1,2.87E-3,
1.66083E-3,-1.16362E+0,-1.1713E-1,
1.67084E-3,-9.2362E-1,2.87E-3,
1.68084E-3,-1.16362E+0,-1.1713E-1,
1.69085E-3,-9.2362E-1,2.87E-3,
1.70085E-3,-1.16362E+0,-1.1713E-1,
1.71086E-3,-1.00362E+0,2.87E-3,
1.72086E-3,-1.16362E+0,-1.1713E-1,
1.73087E-3,-9.2362E-1,2.87E-3,
1.74087E-3,-1.16362E+0,-1.1713E-1,
1.75088E-3,-9.2362E-1,2.87E-3,
1.76088E-3,-1.16362E+0,-1.1713E-1,
1.77089E-3,-9.2362E-1,2.87E-3,
1.78089E-3,-1.16362E+0,-1.1713E-1,
1.7909E-3,-9.2362E-1,2.87E-3,
1.8009E-3,-1.16362E+0,-1.1713E-1,
1.81091E-3,-9.2362E-1,2.87E-3,
1.82091E-3,-1.16362E+0,-1.1713E-1,
1.83092E-3,-9.2362E-1,2.87E-3,
1.84092E-3,-1.16362E+0,-1.1713E-1,
1.85093E-3,-9.2362E-1,2.87E-3,
1.86093E-3,-1.16362E+0,-1.1713E-1,
1.87094E-3,-9.2362E-1,2.87E-3,
1.88094E-3,-1.16362E+0,-1.1713E-1,
1.89095E-3,-9.2362E-1,2.87E-3,
1.90095E-3,-1.16362E+0,-1.1713E-1,
1.91096E-3,-9.2362E-1,2.87E-3,
1.92096E-3,-1.16362E+0,-1.1713E-1,
1.93097E-3,-9.2362E-1,2.87E-3,
1.94097E-3,-1.16362E+0,-1.1713E-1,
1.95098E-3,-9.2362E-1,2.87E-3,
1.96098E-3,-1.16362E+0,-1.1713E-1,
1.97099E-3,-9.2362E-1,2.87E-3,
1.98099E-3,-1.16362E+0,-1.1713E-1,
1.991E-3,-9.2362E-1,2.87E-3,
2.001E-3,-1.16362E+0,-1.1713E-1,
2.01101E-3,-9.2362E-1,2.87E-3,
2.02101E-3,-1.16362E+0,-1.1713E-1,
2.03102E-3,-9.2362E-1,2.87E-3,
2.04102E-3,-1.16362E+0,-1.1713E-1,
2.05103E-3,-9.2362E-1,2.87E-3,
2.06103E-3,-1.16362E+0,-1.1713E-1,
