Time,CH A,CH B,
0.E+0,8.5819E+0,8.573E-4,
2.50125E-6,9.3819E+0,4.0573E-3,
5.0025E-6,8.1819E+0,-7.427E-4,
7.50375E-6,9.3819E+0,2.4573E-3,
1.0005E-5,8.1819E+0,-7.427E-4,
1.25063E-5,9.3819E+0,1.6573E-3,
1.50075E-5,8.1819E+0,-7.427E-4,
1.75088E-5,8.9819E+0,2.4573E-3,
2.001E-5,7.7819E+0,8.573E-4,
2.25113E-5,8.9819E+0,3.2573E-3,
2.50125E-5,7.7819E+0,8.573E-4,
2.75138E-5,8.9819E+0,3.2573E-3,
3.0015E-5,7.7819E+0,-7.427E-4,
3.25163E-5,8.5819E+0,1.6573E-3,
3.50175E-5,7.7819E+0,-1.5427E-3,
3.75188E-5,8.5819E+0,8.573E-4,
4.002E-5,7.3819E+0,-1.5427E-3,
4.25213E-5,8.5819E+0,8.573E-4,
4.50225E-5,7.3819E+0,-7.427E-4,
4.75238E-5,8.5819E+0,2.4573E-3,
5.0025E-5,7.3819E+0,-7.427E-4,
5.25263E-5,8.1819E+0,1.6573E-3,
5.50275E-5,6.9819E+0,-2.3427E-3,
5.75288E-5,8.1819E+0,1.6573E-3,
6.003E-5,6.9819E+0,-3.1427E-3,
6.25313E-5,8.1819E+0,-7.427E-4,
6.50325E-5,6.5819E+0,-3.1427E-3,
6.75338E-5,7.7819E+0,-7.427E-4,
7.0035E-5,6.5819E+0,-3.9427E-3,
7.25363E-5,7.7819E+0,5.73E-5,
7.50375E-5,6.5819E+0,-3.1427E-3,
7.75388E-5,7.3819E+0,5.73E-5,
8.004E-5,6.1819E+0,-3.9427E-3,
8.25413E-5,7.3819E+0,-7.427E-4,
8.50425E-5,5.7819E+0,-5.5427E-3,
8.75438E-5,6.9819E+0,-1.5427E-3,
9.0045E-5,5.7819E+0,-5.5427E-3,
9.25463E-5,6.9819E+0,-2.3427E-3,
9.50475E-5,5.7819E+0,-5.5427E-3,
9.75488E-5,6.5819E+0,-2.3427E-3,
1.0005E-4,5.3819E+0,-4.7427E-3,
1.02551E-4,6.5819E+0,-1.5427E-3,
1.05053E-4,4.9819E+0,-6.3427E-3,
1.07554E-4,6.1819E+0,-2.3427E-3,
1.10055E-4,4.9819E+0,-7.9427E-3,
1.12556E-4,6.1819E+0,-3.9427E-3,
1.15058E-4,4.9819E+0,-8.7427E-3,
1.17559E-4,5.7819E+0,-5.5427E-3,
1.2006E-4,4.5819E+0,-8.7427E-3,
1.22561E-4,5.7819E+0,-5.5427E-3,
1.25063E-4,4.5819E+0,-7.1427E-3,
1.27564E-4,5.3819E+0,-4.7427E-3,
1.30065E-4,4.1819E+0,-8.7427E-3,
1.32566E-4,5.7819E+0,-4.7427E-3,
1.35068E-4,3.7819E+0,-1.03427E-2,
1.37569E-4,4.9819E+0,-6.3427E-3,
1.4007E-4,3.7819E+0,-1.19427E-2,
1.42571E-4,4.9819E+0,-8.7427E-3,
1.45073E-4,3.3819E+0,-1.19427E-2,
1.47574E-4,4.5819E+0,-9.5427E-3,
1.50075E-4,3.3819E+0,-1.11427E-2,
1.52576E-4,4.5819E+0,-8.7427E-3,
1.55078E-4,2.9819E+0,-1.11427E-2,
1.57579E-4,4.1819E+0,-7.9427E-3,
1.6008E-4,2.5819E+0,-1.35427E-2,
1.62581E-4,3.7819E+0,-1.03427E-2,
1.65083E-4,2.5819E+0,-1.51427E-2,
1.67584E-4,3.7819E+0,-1.19427E-2,
1.70085E-4,2.1819E+0,-1.51427E-2,
1.72586E-4,3.3819E+0,-1.19427E-2,
1.75088E-4,2.1819E+0,-1.51427E-2,
1.77589E-4,3.3819E+0,-1.11427E-2,
1.8009E-4,1.7819E+0,-1.35427E-2,
1.82591E-4,2.9819E+0,-1.11427E-2,
1.85093E-4,1.7819E+0,-1.51427E-2,
1.87594E-4,2.5819E+0,-1.11427E-2,
1.90095E-4,1.3819E+0,-1.67427E-2,
1.92596E-4,2.5819E+0,-1.35427E-2,
1.95098E-4,9.819E-1,-1.67427E-2,
1.97599E-4,2.1819E+0,-1.51427E-2,
2.001E-4,9.819E-1,-1.75427E-2,
2.02601E-4,1.7819E+0,-1.35427E-2,
2.05103E-4,5.819E-1,-1.59427E-2,
2.07604E-4,1.7819E+0,-1.27427E-2,
2.10105E-4,5.819E-1,-1.83427E-2,
2.12606E-4,1.3819E+0,-1.43427E-2,
2.15108E-4,1.819E-1,-1.91427E-2,
2.17609E-4,1.3819E+0,-1.59427E-2,
2.2011E-4,-2.181E-1,-1.91427E-2,
2.22611E-4,9.819E-1,-1.67427E-2,
2.25113E-4,-2.181E-1,-1.99427E-2,
2.27614E-4,5.819E-1,-1.67427E-2,
2.30115E-4,-6.181E-1,-1.83427E-2,
2.32616E-4,5.819E-1,-1.51427E-2,
2.35118E-4,-1.0181E+0,-1.91427E-2,
2.37619E-4,1.819E-1,-1.67427E-2,
2.4012E-4,-1.0181E+0,-1.99427E-2,
2.42621E-4,1.819E-1,-1.75427E-2,
2.45123E-4,-1.4181E+0,-2.07427E-2,
2.47624E-4,-2.181E-1,-1.83427E-2,
2.50125E-4,-1.4181E+0,-2.15427E-2,
2.52626E-4,-6.181E-1,-1.83427E-2,
2.55128E-4,-1.8181E+0,-1.99427E-2,
2.57629E-4,-6.181E-1,-1.67427E-2,
2.6013E-4,-1.8181E+0,-1.91427E-2,
2.62631E-4,-1.0181E+0,-1.59427E-2,
2.65133E-4,-2.2181E+0,-1.99427E-2,
2.67634E-4,-1.0181E+0,-1.75427E-2,
2.70135E-4,-2.6181E+0,-2.07427E-2,
2.72636E-4,-1.4181E+0,-1.83427E-2,
2.75138E-4,-2.6181E+0,-2.07427E-2,
2.77639E-4,-1.8181E+0,-1.83427E-2,
2.8014E-4,-3.0181E+0,-2.07427E-2,
2.82641E-4,-1.8181E+0,-1.75427E-2,
2.85143E-4,-3.4181E+0,-1.91427E-2,
2.87644E-4,-2.2181E+0,-1.67427E-2,
2.90145E-4,-3.4181E+0,-1.91427E-2,
2.92646E-4,-2.2181E+0,-1.59427E-2,
2.95148E-4,-3.8181E+0,-1.91427E-2,
2.97649E-4,-2.6181E+0,-1.75427E-2,
3.0015E-4,-4.2181E+0,-1.99427E-2,
3.02651E-4,-2.6181E+0,-1.75427E-2,
3.05153E-4,-4.2181E+0,-1.99427E-2,
3.07654E-4,-3.0181E+0,-1.59427E-2,
3.10155E-4,-4.6181E+0,-1.83427E-2,
3.12656E-4,-3.0181E+0,-1.59427E-2,
3.15158E-4,-4.6181E+0,-1.83427E-2,
3.17659E-4,-3.4181E+0,-1.43427E-2,
