x in Angstrom	y in Volt
6400,00000	32,32612
6400,20000	32,13171
6400,40000	32,28817
6400,60000	32,22637
6400,80000	30,57644
6401,00000	30,02384
6401,20000	28,37509
6401,40000	29,84188
6401,60000	30,49122
6401,80000	29,66058
6402,00000	30,77783
6402,20000	31,85059
6402,40000	29,66408
6402,60000	29,50247
6402,80000	29,49363
6403,00000	28,00422
6403,20000	28,35078
6403,40000	28,61819
6403,60000	27,63173
6403,80000	28,10197
6404,00000	28,30828
6404,20000	27,38796
6404,40000	27,42392
6404,60000	27,49138
6404,80000	26,74710
6405,00000	26,00211
6405,20000	26,26057
6405,40000	26,66093
6405,60000	25,98147
6405,80000	26,85898
6406,00000	26,17633
6406,20000	25,57919
6406,40000	25,60103
6406,60000	25,72366
6406,80000	24,42918
6407,00000	24,14304
6407,20000	23,12954
6407,40000	22,34095
6407,60000	22,89179
6407,80000	22,66346
6408,00000	22,99798
6408,20000	22,39005
6408,40000	22,75969
6408,60000	22,74471
6408,80000	21,96209
6409,00000	22,17867
6409,20000	22,72799
6409,40000	22,30788
6409,60000	21,59703
6409,80000	21,91053
6410,00000	22,21174
6410,20000	21,31525
6410,40000	20,67046
6410,60000	19,87562
6410,80000	19,58402
6411,00000	21,37345
6411,20000	22,00223
6411,40000	22,02976
6411,60000	21,92149
6411,80000	21,61123
6412,00000	20,47862
6412,20000	20,88739
6412,40000	20,53160
6412,60000	20,14500
6412,80000	19,49034
6413,00000	20,62159
6413,20000	19,90697
6413,40000	19,48448
6413,60000	19,47711
6413,80000	21,13810
6414,00000	20,37911
6414,20000	19,98977
6414,40000	20,52416
6414,60000	20,80954
6414,80000	20,82519
6415,00000	20,54509
6415,20000	20,11949
6415,40000	19,94888
6415,60000	20,47314
6415,80000	20,56894
6416,00000	20,34015
6416,20000	20,13886
6416,40000	20,48289
6416,60000	21,23477
6416,80000	20,94673
6417,00000	21,37426
6417,20000	21,35229
6417,40000	20,15525
6417,60000	21,08381
6417,80000	21,58747
6418,00000	21,88072
6418,20000	22,69432
6418,40000	23,17314
6418,60000	22,09002
6418,80000	22,87373
6419,00000	23,44114
6419,20000	23,54747
6419,40000	22,66903
6419,60000	23,36855
6419,80000	22,01083
6420,00000	21,99332
6420,20000	22,72351
6420,40000	21,76228
6420,60000	20,86682
6420,80000	20,97965
6421,00000	22,55618
6421,20000	21,56941
6421,40000	20,76333
6421,60000	20,58141
6421,80000	20,71025
6422,00000	21,48735
6422,20000	21,77770
6422,40000	21,59180
6422,60000	20,39939
6422,80000	20,54243
6423,00000	21,26990
6423,20000	20,68100
6423,40000	20,12521
6423,60000	19,25470
6423,80000	18,30031
6424,00000	18,50237
6424,20000	19,11116
6424,40000	18,02755
6424,60000	17,74489
6424,80000	17,55026
6425,00000	16,55253
6425,20000	16,07955
6425,40000	16,67146
6425,60000	15,83886
6425,80000	16,73625
6426,00000	15,74499
6426,20000	16,26634
6426,40000	16,80030
6426,60000	16,32174
6426,80000	16,41784
6427,00000	16,53306
6427,20000	16,15712
6427,40000	16,15811
6427,60000	15,10478
6427,80000	14,86116
6428,00000	15,38053
6428,20000	15,00640
6428,40000	14,81260
6428,60000	15,47501
6428,80000	16,05035
6429,00000	15,55108
6429,20000	15,45550
6429,40000	16,00888
6429,60000	15,05739
6429,80000	15,40215
6430,00000	14,74492
6430,20000	15,33518
6430,40000	14,67097
6430,60000	14,72059
6430,80000	14,48587
6431,00000	14,01451
6431,20000	14,61194
6431,40000	15,71788
6431,60000	15,77891
6431,80000	15,45186
6432,00000	15,68759
6432,20000	15,30169
6432,40000	15,19458
6432,60000	14,69932
6432,80000	14,60795
6433,00000	15,48503
6433,20000	14,88025
6433,40000	14,86981
6433,60000	15,28180
6433,80000	15,89250
6434,00000	16,86677
6434,20000	17,11233
6434,40000	15,69709
6434,60000	15,57360
6434,80000	16,05173
6435,00000	16,84249
6435,20000	17,31107
6435,40000	17,84316
6435,60000	17,84574
6435,80000	18,26964
6436,00000	17,84435
6436,20000	19,71686
6436,40000	19,48187
6436,60000	19,05605
6436,80000	18,86185
6437,00000	20,07036
6437,20000	19,91201
6437,40000	19,58591
6437,60000	19,38598
6437,80000	19,91267
6438,00000	20,77678
6438,20000	21,07768
6438,40000	20,22623
6438,60000	20,53013
6438,80000	20,63040
6439,00000	20,29817
6439,20000	20,04726
6439,40000	20,13473
6439,60000	19,35070
6439,80000	19,50419
6440,00000	19,63825
6440,20000	19,38131
6440,40000	18,35944
6440,60000	18,63041
6440,80000	17,24961
6441,00000	17,65683
6441,20000	18,07231
6441,40000	18,56677
6441,60000	18,41467
6441,80000	17,57501
6442,00000	16,88556
6442,20000	16,81310
6442,40000	16,46853
6442,60000	16,31094
6442,80000	14,88809
6443,00000	15,37342
6443,20000	16,02476
6443,40000	14,94355
6443,60000	14,57139
6443,80000	14,67858
6444,00000	14,47348
6444,20000	14,41918
6444,40000	14,59702
6444,60000	14,15633
6444,80000	13,84891
6445,00000	12,76317
6445,20000	13,68600
6445,40000	14,46462
6445,60000	14,56381
6445,80000	15,61470
6446,00000	14,96499
6446,20000	14,19526
6446,40000	13,88781
6446,60000	13,30964
6446,80000	12,81616
6447,00000	13,16796
6447,20000	13,75228
6447,40000	13,43633
6447,60000	13,33789
6447,80000	13,56213
6448,00000	14,06468
6448,20000	14,62853
6448,40000	14,29388
6448,60000	14,14391
6448,80000	14,32383
6449,00000	15,19950
6449,20000	15,54294
6449,40000	15,43075
6449,60000	14,96561
6449,80000	14,69913
6450,00000	14,17754
6450,20000	14,69771
6450,40000	14,30597
6450,60000	13,20810
6450,80000	13,28707
6451,00000	14,02545
6451,20000	14,07100
6451,40000	14,48448
6451,60000	14,40905
6451,80000	14,68043
6452,00000	15,51895
6452,20000	15,30757
6452,40000	14,65869
6452,60000	13,77759
6452,80000	14,36567
6453,00000	15,28902
6453,20000	16,13460
6453,40000	16,84939
6453,60000	17,79571
6453,80000	17,81449
6454,00000	17,73853
6454,20000	18,22152
6454,40000	18,41414
6454,60000	19,68484
6454,80000	20,00771
6455,00000	19,61930
6455,20000	19,73285
6455,40000	20,06229
6455,60000	19,73980
6455,80000	19,66265
6456,00000	19,09389
6456,20000	19,30771
6456,40000	19,65666
6456,60000	19,66972
6456,80000	19,35391
6457,00000	19,90709
6457,20000	19,96309
6457,40000	19,18855
6457,60000	19,94967
6457,80000	20,08927
6458,00000	19,22908
6458,20000	19,27009
6458,40000	19,04053
6458,60000	18,98618
6458,80000	18,38330
6459,00000	18,22517
6459,20000	18,05129
6459,40000	17,38607
6459,60000	16,64930
6459,80000	15,47403
6460,00000	15,57564
6460,20000	14,95105
6460,40000	14,29144
6460,60000	14,77790
6460,80000	15,57665
6461,00000	14,02178
6461,20000	14,88904
6461,40000	14,51749
6461,60000	14,48069
6461,80000	14,98423
6462,00000	14,31591
6462,20000	14,45511
6462,40000	14,85302
6462,60000	14,20526
6462,80000	13,46433
6463,00000	13,91961
6463,20000	14,60819
6463,40000	14,65542
6463,60000	14,20120
6463,80000	13,85770
6464,00000	13,32284
6464,20000	14,29304
6464,40000	14,26725
6464,60000	14,54282
6464,80000	14,68001
6465,00000	13,73812
6465,20000	13,55508
6465,40000	13,90281
6465,60000	13,90657
6465,80000	13,47916
6466,00000	13,88147
6466,20000	14,14719
6466,40000	14,01808
6466,60000	14,11600
6466,80000	14,34537
6467,00000	14,45840
6467,20000	14,55071
6467,40000	14,55038
6467,60000	13,84506
6467,80000	13,30149
6468,00000	14,01269
6468,20000	13,59352
6468,40000	12,95740
6468,60000	14,90908
6468,80000	15,48270
6469,00000	14,10333
6469,20000	14,41324
6469,40000	14,51020
6469,60000	14,03928
6469,80000	14,84819
6470,00000	14,49786
6470,20000	14,25353
6470,40000	14,39548
