x in Angstrom	y in Volt
6457,80000	39,16721
6458,00000	39,55879
6458,20000	37,45708
6458,40000	35,94985
6458,60000	40,70835
6458,80000	41,14018
6459,00000	37,41369
6459,20000	34,90127
6459,40000	34,36928
6459,60000	32,17213
6459,80000	31,22478
6460,00000	30,37815
6460,20000	29,72617
6460,40000	29,93914
6460,60000	31,22816
6460,80000	31,60820
6461,00000	32,01950
6461,20000	32,93091
6461,40000	31,73213
6461,60000	31,23302
6461,80000	27,88186
6462,00000	27,65940
6462,20000	28,09162
6462,40000	30,18513
6462,60000	32,96272
6462,80000	34,77964
6463,00000	34,78129
6463,20000	36,53920
6463,40000	33,61068
6463,60000	33,00108
6463,80000	34,78866
6464,00000	33,57215
6464,20000	30,98199
6464,40000	30,93071
6464,60000	31,84528
6464,80000	30,50911
6465,00000	29,53867
6465,20000	28,94797
6465,40000	29,93999
6465,60000	30,36494
6465,80000	29,73168
6466,00000	29,83661
6466,20000	32,43932
6466,40000	31,69796
6466,60000	29,92029
6466,80000	30,09531
6467,00000	30,82871
6467,20000	29,74038
6467,40000	29,69485
6467,60000	28,24526
6467,80000	30,54008
6468,00000	31,24069
6468,20000	32,22937
6468,40000	36,03925
6468,60000	35,56132
6468,80000	33,93339
6469,00000	34,58800
6469,20000	35,52740
6469,40000	34,60449
6469,60000	31,52117
6469,80000	32,31912
6470,00000	31,99022
6470,20000	30,19557
6470,40000	30,68705
6470,60000	32,19805
6470,80000	32,44937
6471,00000	32,06206
6471,20000	33,76670
6471,40000	34,09878
6471,60000	34,60146
6471,80000	34,08046
6472,00000	33,24948
6472,20000	33,08235
6472,40000	31,95086
6472,60000	33,00744
6472,80000	34,79180
6473,00000	37,01315
6473,20000	38,19999
6473,40000	36,54585
6473,60000	35,00534
6473,80000	33,53557
6474,00000	32,58794
6474,20000	33,07390
6474,40000	34,42885
6474,60000	33,37407
6474,80000	33,90125
6475,00000	34,48137
6475,20000	33,96463
6475,40000	31,72130
6475,60000	31,18983
6475,80000	32,94239
6476,00000	33,07297
6476,20000	34,02300
6476,40000	32,91172
6476,60000	32,71995
6476,80000	32,11071
6477,00000	33,12830
6477,20000	29,16514
6477,40000	28,92981
6477,60000	29,96544
6477,80000	32,19671
6478,00000	31,54316
6478,20000	29,66390
6478,40000	27,97665
6478,60000	29,04015
6478,80000	29,78941
6479,00000	27,06632
6479,20000	25,46788
6479,40000	28,61543
6479,60000	29,19011
6479,80000	28,17330
6480,00000	27,99715
6480,20000	28,61755
6480,40000	30,39216
6480,60000	31,41227
6480,80000	33,41216
6481,00000	33,16288
6481,20000	31,04322
6481,40000	27,61893
6481,60000	27,94594
6481,80000	28,23570
6482,00000	28,20790
6482,20000	28,86049
6482,40000	28,58851
6482,60000	27,85561
6482,80000	29,11525
6483,00000	28,86135
6483,20000	29,00471
6483,40000	29,06130
6483,60000	28,37427
6483,80000	28,01056
6484,00000	28,05771
6484,20000	27,21567
6484,40000	26,41134
6484,60000	26,35350
6484,80000	25,33595
6485,00000	27,44980
6485,20000	27,40244
6485,40000	27,92449
6485,60000	27,63620
6485,80000	28,69954
6486,00000	27,04148
6486,20000	27,93368
6486,40000	27,74646
6486,60000	27,79998
6486,80000	27,48775
6487,00000	28,26564
6487,20000	26,90852
6487,40000	28,43814
6487,60000	29,75311
6487,80000	31,28559
6488,00000	32,77703
6488,20000	30,85642
6488,40000	29,90919
6488,60000	29,04563
6488,80000	28,93681
6489,00000	29,46506
6489,20000	30,76701
6489,40000	33,25989
6489,60000	32,71920
6489,80000	32,09772
6490,00000	33,80422
6490,20000	35,27965
6490,40000	36,30891
6490,60000	36,65161
6490,80000	34,27954
6491,00000	33,62927
6491,20000	34,16882
6491,40000	35,64382
6491,60000	35,06370
6491,80000	33,71322
6492,00000	32,24845
6492,20000	30,84016
6492,40000	30,22890
6492,60000	31,91690
6492,80000	31,16527
6493,00000	31,62410
6493,20000	31,61554
6493,40000	32,81193
6493,60000	31,60815
6493,80000	31,59432
6494,00000	32,18570
6494,20000	33,04944
6494,40000	35,12358
6494,60000	32,80673
6494,80000	32,32476
6495,00000	32,56639
6495,20000	31,81061
6495,40000	31,07424
6495,60000	31,87532
6495,80000	30,86958
6496,00000	29,21724
6496,20000	28,69067
6496,40000	27,89559
6496,60000	28,74335
6496,80000	27,31261
6497,00000	27,14891
6497,20000	27,74391
6497,40000	26,94149
6497,60000	26,19514
6497,80000	27,67916
6498,00000	30,23739
6498,20000	31,93406
6498,40000	30,97558
6498,60000	29,45347
6498,80000	28,93683
6499,00000	29,13051
6499,20000	29,37951
6499,40000	30,24955
6499,60000	30,11707
6499,80000	29,91519
6500,00000	27,94199
6500,20000	28,75605
6500,40000	28,41072
6500,60000	28,29652
6500,80000	29,23841
6501,00000	30,37031
6501,20000	29,68801
6501,40000	28,32952
6501,60000	26,46151
6501,80000	26,43657
6502,00000	27,29080
6502,20000	28,65806
6502,40000	28,99089
6502,60000	28,85122
6502,80000	30,31621
6503,00000	29,73504
6503,20000	27,37794
6503,40000	27,07677
6503,60000	27,60454
6503,80000	27,39949
6504,00000	27,80895
6504,20000	30,15036
6504,40000	29,48012
6504,60000	30,42866
6504,80000	31,85920
6505,00000	32,07994
6505,20000	30,63889
6505,40000	31,51774
6505,60000	32,51547
6505,80000	33,39462
6506,00000	32,67446
6506,20000	32,06072
6506,40000	32,98591
6506,60000	31,19531
6506,80000	33,49209
6507,00000	32,15489
6507,20000	33,89015
6507,40000	34,71795
6507,60000	33,35676
6507,80000	32,51782
6508,00000	34,86023
6508,20000	34,84524
6508,40000	33,81763
6508,60000	31,16713
6508,80000	29,76713
6509,00000	31,11157
6509,20000	33,04709
6509,40000	36,28095
6509,60000	37,94421
6509,80000	39,42289
6510,00000	37,63023
6510,20000	38,50002
6510,40000	40,87615
6510,60000	38,77440
6510,80000	37,42163
6511,00000	37,31475
6511,20000	37,59440
6511,40000	42,21363
6511,60000	39,51127
6511,80000	39,15730
6512,00000	38,29775
6512,20000	37,04906
6512,40000	37,53126
6512,60000	37,85977
6512,80000	38,03824
6513,00000	38,37833
6513,20000	36,30381
6513,40000	36,88293
6513,60000	36,08364
6513,80000	35,16464
6514,00000	37,14893
6514,20000	35,69269
6514,40000	33,99170
6514,60000	37,60688
6514,80000	35,73259
6515,00000	34,72409
6515,20000	33,64496
6515,40000	34,96313
6515,60000	34,14515
6515,80000	34,04460
6516,00000	34,40436
6516,20000	33,18839
6516,40000	31,55183
6516,60000	31,50945
6516,80000	29,59855
6517,00000	28,45850
6517,20000	30,46582
6517,40000	31,05825
6517,60000	31,07097
6517,80000	30,06613
6518,00000	30,63669
6518,20000	29,58899
6518,40000	28,84342
6518,60000	28,19834
6518,80000	27,45881
6519,00000	27,44045
6519,20000	27,01251
6519,40000	26,10033
6519,60000	27,21682
6519,80000	30,47128
6520,00000	32,35050
6520,20000	31,05116
6520,40000	31,66294
6520,60000	30,88355
6520,80000	32,05299
6521,00000	31,45764
6521,20000	31,25148
6521,40000	34,03839
6521,60000	32,05231
6521,80000	29,97479
6522,00000	31,24029
6522,20000	31,85533
6522,40000	32,74206
6522,60000	30,98068
6522,80000	30,62847
6523,00000	32,15618
6523,20000	30,92532
6523,40000	34,09115
6523,60000	31,23723
6523,80000	32,75428
6524,00000	33,88848
6524,20000	33,67505
6524,40000	31,68366
6524,60000	29,28870
6524,80000	30,42382
6525,00000	30,24287
6525,20000	33,01036
6525,40000	32,55671
6525,60000	30,50103
6525,80000	26,35317
6526,00000	24,74287
6526,20000	27,60455
6526,40000	28,42501
6526,60000	26,89538
6526,80000	31,24459
6527,00000	32,71012
6527,20000	31,61464
6527,40000	31,03116
6527,60000	29,94377
6527,80000	30,04881
6528,00000	28,43310
6528,20000	30,77946
6528,40000	34,53207
6528,60000	34,24063
6528,80000	30,26995
6529,00000	29,99244
6529,20000	31,04736
6529,40000	29,61501
6529,60000	29,93455
6529,80000	31,10554
6530,00000	32,06704
6530,20000	29,79807
6530,40000	31,96392
6530,60000	33,36401
6530,80000	35,62769
6531,00000	35,34985
6531,20000	35,88958
6531,40000	37,11905
6531,60000	35,91347
6531,80000	36,09757
6532,00000	34,31381
6532,20000	32,07792
6532,40000	31,26025
6532,60000	32,58157
6532,80000	34,30700
6533,00000	33,42036
6533,20000	30,79257
6533,40000	31,07839
6533,60000	32,01103
6533,80000	32,85060
6534,00000	32,63288
6534,20000	34,07211
6534,40000	32,65576
6534,60000	31,43392
6534,80000	31,43454
6535,00000	31,72435
6535,20000	32,59058
6535,40000	34,24292
6535,60000	35,54559
6535,80000	36,38873
6536,00000	34,91273
6536,20000	32,02715
6536,40000	31,60110
6536,60000	32,30529
6536,80000	30,79376
6537,00000	30,69324
6537,20000	30,45158
6537,40000	30,67624
6537,60000	29,99988
6537,80000	31,92019
6538,00000	32,38049
6538,20000	32,04722
6538,40000	32,04915
6538,60000	30,73759
6538,80000	31,07085
6539,00000	29,63443
6539,20000	29,62295
6539,40000	28,50127
