x in Angstrom	y in Volt
6400,00000	4,98962
6400,20000	4,57765
6400,40000	4,65706
6400,60000	4,66749
6400,80000	4,31217
6401,00000	4,51248
6401,20000	3,77804
6401,40000	3,47691
6401,60000	3,69215
6401,80000	3,79627
6402,00000	3,69249
6402,20000	3,46465
6402,40000	3,46677
6402,60000	3,54833
6402,80000	3,41249
6403,00000	2,81059
6403,20000	3,18380
6403,40000	2,96649
6403,60000	3,05223
6403,80000	3,17525
6404,00000	2,98987
6404,20000	2,83152
6404,40000	2,91651
6404,60000	2,91547
6404,80000	2,63897
6405,00000	2,53353
6405,20000	2,48359
6405,40000	2,60647
6405,60000	2,37544
6405,80000	2,53608
6406,00000	2,76203
6406,20000	2,29959
6406,40000	2,78683
6406,60000	2,70298
6406,80000	2,89955
6407,00000	2,47813
6407,20000	2,41070
6407,40000	2,32746
6407,60000	2,57713
6407,80000	2,46756
6408,00000	2,51605
6408,20000	2,56338
6408,40000	2,37445
6408,60000	2,43097
6408,80000	2,44155
6409,00000	3,01404
6409,20000	2,89629
6409,40000	2,89043
6409,60000	2,92201
6409,80000	2,81582
6410,00000	2,89931
6410,20000	3,06830
6410,40000	2,97716
6410,60000	3,01874
6410,80000	3,07509
6411,00000	2,84134
6411,20000	2,84012
6411,40000	2,76793
6411,60000	2,88864
6411,80000	2,37414
6412,00000	2,29863
6412,20000	2,68059
6412,40000	2,50665
6412,60000	2,16382
6412,80000	2,07415
6413,00000	1,91010
6413,20000	2,05615
6413,40000	1,95204
6413,60000	1,91415
6413,80000	2,07897
6414,00000	1,99748
6414,20000	2,00340
6414,40000	1,99243
6414,60000	2,11301
6414,80000	2,31806
6415,00000	2,13982
6415,20000	1,92934
6415,40000	2,09244
6415,60000	2,14988
6415,80000	2,02245
6416,00000	2,14573
6416,20000	2,14776
6416,40000	1,91004
6416,60000	1,99378
6416,80000	2,00663
6417,00000	1,97752
6417,20000	2,01463
6417,40000	2,11975
6417,60000	1,91656
6417,80000	2,02040
6418,00000	2,55405
6418,20000	2,61840
6418,40000	2,63115
6418,60000	2,72606
6418,80000	2,80200
6419,00000	2,71800
6419,20000	2,98794
6419,40000	2,78293
6419,60000	2,41462
6419,80000	2,85070
6420,00000	2,58223
6420,20000	2,56145
6420,40000	2,57354
6420,60000	2,45153
6420,80000	2,52860
6421,00000	2,09913
6421,20000	2,28013
6421,40000	2,08723
6421,60000	1,83025
6421,80000	1,75344
6422,00000	1,64553
6422,20000	1,91543
6422,40000	1,87967
6422,60000	1,60260
6422,80000	1,70639
6423,00000	1,95611
6423,20000	2,01936
6423,40000	1,74040
6423,60000	1,72212
6423,80000	1,88299
6424,00000	1,89544
6424,20000	1,70639
6424,40000	2,11694
6424,60000	1,71851
6424,80000	1,82620
6425,00000	1,87811
6425,20000	2,06022
6425,40000	1,85901
6425,60000	1,72128
6425,80000	1,71846
6426,00000	1,45785
6426,20000	1,98516
6426,40000	1,83961
6426,60000	1,96128
6426,80000	1,99385
6427,00000	2,14538
6427,20000	2,04510
6427,40000	2,15154
6427,60000	2,23421
6427,80000	2,52275
6428,00000	2,53617
6428,20000	2,04368
6428,40000	2,34527
6428,60000	2,08582
6428,80000	2,14511
6429,00000	2,16958
6429,20000	2,58101
6429,40000	1,96541
6429,60000	1,98578
6429,80000	1,78547
6430,00000	1,79180
6430,20000	1,81907
6430,40000	1,81109
6430,60000	1,97260
6430,80000	1,78419
6431,00000	1,98261
6431,20000	1,51730
6431,40000	1,81872
6431,60000	1,71645
6431,80000	1,84904
6432,00000	1,84641
6432,20000	1,99229
6432,40000	1,90022
6432,60000	1,68610
6432,80000	1,77708
6433,00000	1,76733
6433,20000	1,81376
6433,40000	1,66414
6433,60000	1,80645
6433,80000	2,01267
6434,00000	1,64530
6434,20000	1,84082
6434,40000	1,84503
6434,60000	1,79260
6434,80000	1,74732
6435,00000	1,48176
6435,20000	1,78732
6435,40000	1,77545
6435,60000	1,98629
6435,80000	1,87437
6436,00000	1,91401
6436,20000	1,74994
6436,40000	2,07704
6436,60000	2,01161
6436,80000	2,09761
6437,00000	2,19736
6437,20000	2,06795
6437,40000	1,86740
6437,60000	2,04487
6437,80000	1,99007
6438,00000	2,37307
6438,20000	2,10168
6438,40000	2,11367
6438,60000	1,97892
6438,80000	1,96891
6439,00000	2,06183
6439,20000	1,92072
6439,40000	2,12516
6439,60000	2,01146
6439,80000	1,82709
6440,00000	1,96248
6440,20000	1,68660
6440,40000	1,92535
6440,60000	1,84017
6440,80000	2,11691
6441,00000	1,95138
6441,20000	1,95862
6441,40000	1,97379
6441,60000	1,75850
6441,80000	2,05302
6442,00000	1,80573
6442,20000	1,87291
6442,40000	2,27521
6442,60000	1,78410
6442,80000	1,81376
6443,00000	1,82328
6443,20000	1,67174
6443,40000	1,47958
6443,60000	1,63710
6443,80000	1,62340
6444,00000	1,97405
6444,20000	1,99002
6444,40000	1,87598
6444,60000	1,91500
6444,80000	2,15239
6445,00000	2,06766
6445,20000	2,28929
6445,40000	2,47898
6445,60000	2,41660
6445,80000	2,56126
6446,00000	3,03045
6446,20000	3,22820
6446,40000	2,96611
