Vernier Format 2
B.cmbl 26.09.2019 12:47:47 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

37,5	-59,383919512	0,532357	0,140415	-1421,49214562	-0,871619307796
38	-58,796557863	0,537241	0,15873	-1412,79406247	-0,876985565632
38,5	-58,600414346	0,525031	0,144078	-1409,85631083	-0,878812961637
39	-58,013052697	0,540904	0,148962	-1400,96038289	-0,884393316995
39,5	-57,752240609	0,549451	0,136752	-1396,96297673	-0,886924006318
40	-57,16487896	0,570208	0,141636	-1387,85475064	-0,892744719453
40,5	-56,969269894	0,556777	0,152625	-1384,78901595	-0,89472113494
41	-56,642720333	0,573871	0,150183	-1379,63513636	-0,898063529516
41,5	-56,186299179	0,571429	0,157509	-1372,35645867	-0,902826661522
42	-55,859749618	0,605617	0,145299	-1367,09541088	-0,90630104537
42,5	-55,337590991	0,583639	0,153846	-1358,59069736	-0,911974447056
43	-55,076778903	0,571429	0,147741	-1354,30039303	-0,914863501758
43,5	-54,881169837	0,582418	0,131868	-1351,06424397	-0,91705483698
44	-54,293808188	0,622711	0,136752	-1341,25247216	-0,923763441796
44,5	-54,032461649	0,661783	0,144078	-1336,84135156	-0,926811546149
45	-53,706446539	0,649573	0,153846	-1331,2997479	-0,930669446873
45,5	-53,249490934	0,695971	0,159951	-1323,45991196	-0,93618249318
46	-52,988678846	0,677656	0,135531	-1318,94747811	-0,939385396736
46,5	-52,466520219	0,698413	0,13431	-1309,8313285	-0,945923320844
47	-52,139970658	0,73138	0,137973	-1304,07489778	-0,950098803455
47,5	-51,748752526	0,737485	0,137973	-1297,12272922	-0,955191033266
48	-51,356999943	0,705739	0,129426	-1290,10046487	-0,960390321329
48,5	-51,096187855	0,757021	0,136752	-1285,39187924	-0,963908376897
49	-50,508826206	0,754579	0,128205	-1274,69053023	-0,972000631226
49,5	-50,378420162	0,78022	0,141636	-1272,29640449	-0,973829679644
50	-49,725855491	0,811966	0,139194	-1260,21720304	-0,983163852236
50,5	-49,529711974	0,765568	0,128205	-1256,55449366	-0,98602965988
51	-48,942884776	0,802198	0,129426	-1245,508542	-0,994774389912
51,5	-48,746741259	0,80464	0,151404	-1241,78730719	-0,997755406927
52	-48,15937961	0,80464	0,141636	-1230,5570162	-1,00686110736
52,5	-47,898567522	0,819292	0,145299	-1225,5287862	-1,01099216433
53	-47,637755434	0,84127	0,153846	-1220,47516209	-1,01517838174
53,5	-47,115596807	0,858364	0,156288	-1210,28166594	-1,02372863678
54	-46,854250268	0,849817	0,151404	-1205,14190224	-1,02809469798
54,5	-46,332626092	0,879121	0,14652	-1194,80853683	-1,03698622985
55	-46,006076531	0,871795	0,155067	-1188,28913858	-1,04267552381
55,5	-45,810467465	0,908425	0,166056	-1184,3654023	-1,04612984945
56	-45,223105816	0,869353	0,181929	-1172,50069859	-1,0567157883
56,5	-45,02749675	0,90232	0,212454	-1168,52198338	-1,06031381319
57	-44,440135101	0,905983	0,249084	-1156,49330499	-1,0713421294
57,5	-44,178788562	0,910867	0,272283	-1151,10199982	-1,07635987097
58	-43,591426913	0,941392	0,323565	-1138,89811758	-1,08789362356
58,5	-43,395817847	0,931624	0,371184	-1134,80722783	-1,0918153935
59	-42,87365922	0,896215	0,431013	-1123,82236285	-1,10248740455
59,5	-42,612847132	0,916972	0,467643	-1118,30054113	-1,1079311459
60	-42,286297571	0,881563	0,517705	-1111,35429327	-1,11485599822
60,5	-41,829876417	0,876679	0,576313	-1101,5850222	-1,12474296131
61	-41,503326856	0,892552	0,630037	-1094,55259793	-1,13196935656
61,5	-41,046371251	0,863248	0,722833	-1084,65217262	-1,14230168093
62	-40,720356141	0,777778	0,794872	-1077,54650506	-1,14983436369
62,5	-40,459009602	0,753358	0,886447	-1071,82511824	-1,15597216273
63	-39,872182404	0,698413	0,976801	-1058,89725043	-1,17008519901
63,5	-39,676038887	0,643468	1,10379	-1054,55135151	-1,17490722308
64	-39,088677238	0,506716	1,19658	-1041,4636252	-1,18967189062
64,5	-38,893068172	0,433455	1,31258	-1037,08065711	-1,19469974828
65	-38,305706523	0,296703	1,40659	-1023,84734115	-1,21014134647
65,5	-38,044894435	0,212454	1,47009	-1017,93664002	-1,21716809405
66	-37,522735808	0,115995	1,50794	-1006,03986313	-1,23156153689
66,5	-37,327126742	0,0683761	1,50183	-1001,56157141	-1,23706822962
67	-36,870171137	0,041514	1,48596	-991,054590874	-1,25018340201
67,5	-36,478418554	0,00732601	1,43834	-981,996639696	-1,26171511176
68	-36,152403444	0,00732601	1,37973	-974,423627809	-1,27152089157
68,5	-35,695447839	0,00732601	1,30525	-963,755952282	-1,28559517279
69	-35,369432729	0,010989	1,25275	-956,107587232	-1,29587926772
69,5	-34,847274102	0,018315	1,17094	-943,793274945	-1,31278748524
70	-34,585927563	0,035409	1,11844	-937,600317959	-1,32145859624
70,5	-34,064303387	0,00854701	1,05617	-925,181537658	-1,33919663284
71	-33,737753826	0,00854701	1,00611	-917,367981669	-1,35060305652
71,5	-33,280798221	0,00732601	0,970696	-906,384150914	-1,36697006314
72	-32,954783111	0,00610501	0,905983	-898,512454169	-1,37894582791
72,5	-32,759174045	0,019536	0,86569	-893,775456269	-1,38625422225
73	-32,171812396	0,023199	0,825397	-879,489137812	-1,40877237334
73,5	-31,910465857	0,00854701	0,796093	-873,102639778	-1,41907714346
74	-31,388841681	0,025641	0,764347	-860,301585025	-1,44019262729
74,5	-31,127495142	0,00854701	0,74359	-853,861062884	-1,45105574415
75	-30,605336515	0,00610501	0,713065	-840,940117894	-1,47335104324
75,5	-30,344524427	0,00732601	0,68254	-834,460035365	-1,48479249753
76	-29,8223658	0,00610501	0,663004	-821,434765587	-1,50833645215
76,5	-29,561553712	0,00854701	0,652015	-814,903180184	-1,52042602131
77	-28,974192063	0,00732601	0,643468	-800,132103024	-1,54849429903
77,5	-28,712845524	0,00732601	0,644689	-793,532589536	-1,56137254643
78	-28,386830414	0,00732601	0,643468	-785,276939844	-1,57778732207
78,5	-27,929874809	0,013431	0,643468	-773,66276448	-1,60147296327
79	-27,473453655	0,00610501	0,632479	-762,013049096	-1,62595640779
79,5	-27,146904094	0,00732601	0,636142	-753,648465087	-1,64400255211
80	-26,886092006	0,00610501	0,611722	-746,950152425	-1,65874522681
80,5	-26,363933379	0,00732601	0,593407	-733,493428842	-1,68917668691
81	-26,10258684	0,020757	0,529915	-726,735234405	-1,70488499985
81,5	-25,580962664	0,01221	0,41514	-713,201419511	-1,73723714803
82	-25,254413103	0,020757	0,290598	-704,698760978	-1,7581980679
82,5	-24,797457498	0,00854701	0,202686	-692,762239708	-1,78849239895
83	-24,471442388	0,014652	0,144078	-684,21914736	-1,81082333749
83,5	-24,2106303	0,01221	0,148962	-677,368710326	-1,829136748
84	-23,688471673	0,00732601	0,144078	-663,611762171	-1,86705551443
84,5	-23,361922112	0,025641	0,130647	-654,980304618	-1,8916599343
85	-22,839763485	0,014652	0,137973	-641,134355985	-1,93251225493
85,5	-22,644154419	0,025641	0,153846	-635,933667651	-1,94831640944
86	-22,05679277	0,00976801	0,159951	-620,273092937	-1,9975072498
86,5	-21,861183704	0,023199	0,159951	-615,043100901	-2,0144929651
87	-21,273822055	0,00732601	0,144078	-599,295999649	-2,06742578079
87,5	-21,013009967	0,018315	0,14652	-592,283365879	-2,09190409756
88	-20,49085134	0,025641	0,161172	-578,206993398	-2,14283122506
88,5	-20,229504801	0,017094	0,159951	-571,143497211	-2,16933223621
89	-19,707880625	0,026862	0,144078	-557,010012361	-2,22437653275
89,5	-19,446534086	0,00732601	0,157509	-549,911355599	-2,253090407
90	-18,924375459	0,041514	0,150183	-535,694440326	-2,31288568021
90,5	-18,663563371	0,019536	0,161172	-528,576523149	-2,34403146136
91	-18,337548261	0,03663	0,159951	-519,663741888	-2,38423407317
91,5	-17,880592656	0,021978	0,172161	-507,142983942	-2,44309798071
92	-17,554043095	0,021978	0,15873	-498,175592279	-2,48707487722
92,5	-17,097621941	0,04884	0,168498	-485,614740492	-2,55140525336
93	-16,77107238	0,026862	0,169719	-476,609038014	-2,59961499086
93,5	-16,248913753	0,037851	0,174603	-462,176709505	-2,68079281046
94	-15,922898643	0,019536	0,174603	-453,146195591	-2,73421693055
94,5	-15,465943038	0,0561661	0,178266	-440,464044534	-2,81294243055
95	-15,008987433	0,031746	0,168498	-427,753877168	-2,89652546975
95,5	-14,682972323	0,035409	0,178266	-418,669126992	-2,95937751346
96	-14,356422762	0,0634921	0,163614	-409,555895582	-3,02522809064
96,5	-13,834798586	0,0525031	0,163614	-394,971114099	-3,13693826149
97	-13,573452047	0,047619	0,166056	-387,65139447	-3,19617062566
97,5	-13,05129342	0,041514	0,167277	-373,002920709	-3,32168980781
98	-12,790481332	0,0695971	0,169719	-365,67450306	-3,38825920219
98,5	-12,268322705	0,0757021	0,179487	-350,980032905	-3,53011534515
99	-11,942307595	0,0500611	0,180708	-341,790529936	-3,62502729444
99,5	-11,420148968	0,0573871	0,177045	-327,049329571	-3,78841932385
100	-11,15933688	0,0598291	0,167277	-319,676024877	-3,87579894512
100,5	-10,702381275	0,0732601	0,175824	-306,741755321	-4,03922836883
101	-10,375831714	0,0769231	0,174603	-297,48666787	-4,16489252736
101,5	-9,854207538	0,0793651	0,157509	-282,682841888	-4,38300390546
102	-9,527657977	0,0805861	0,166056	-273,403279954	-4,53176713977
102,5	-9,070702372	0,108669	0,17094	-260,403126844	-4,7580073827
103	-8,744687262	0,111111	0,168498	-251,117991494	-4,93393560784
103,5	-8,287731657	0,133089	0,181929	-238,089964013	-5,20391527267
104	-7,961716547	0,123321	0,179487	-228,785809081	-5,41554567995
104,5	-7,43955792	0,119658	0,173382	-213,8686018	-5,79327675765
105	-7,178211381	0,142857	0,19536	-206,395616429	-6,00303447059
105,5	-6,917399293	0,120879	0,206349	-198,933632037	-6,22820780636
106	-6,330037644	0,140415	0,200244	-182,114018011	-6,80343014519
106,5	-6,069225556	0,123321	0,212454	-174,639195012	-7,09462729666
107	-5,547066929	0,177045	0,208791	-159,663512687	-7,76006978145
107,5	-5,286254841	0,168498	0,210012	-152,178291956	-8,14176571493
108	-4,764096214	0,188034	0,216117	-137,183191684	-9,03171871707
108,5	-4,502749675	0,191697	0,196581	-129,673611195	-9,55475820089
109	-3,981125499	0,2442	0,213675	-114,677252994	-10,8042350828
109,5	-3,71977896	0,242979	0,205128	-107,160056948	-11,5621439115
110	-3,132417311	0,2442	0,217338	-90,2576827945	-13,7273632741
110,5	-2,936808245	0,289377	0,223443	-84,6264915566	-14,6408054642
111	-2,349446596	0,345543	0,230769	-67,7118678084	-18,2981217341
111,5	-2,088634508	0,411477	0,251526	-60,1987106379	-20,5818361701
112	-1,501272859	0,568987	0,29304	-43,2743814131	-28,6312584846
112,5	-1,23992632	0,763126	0,368742	-35,7423341601	-34,6647757936
113	-0,979114232	1,40537	0,971917	-28,2249483867	-43,8973344795
113,5	-0,456955605	4,99023	4,99145	-13,1731711867	-94,0548014174
114	-0,196143517	4,99145	4,99145	-5,65449781813	-219,117601572
114,5	0,32601511	4,99023	4,99145	9,39845175416	131,830224
115	0,586827198	4,99023	4,99145	16,9170086755	73,2398985997
115,5	1,108985825	4,98901	4,99145	31,9683196214	38,7571200074
116	1,435535386	4,90842	1,41636	41,3798959797	29,9420762345
116,5	1,89195654	1,52503	0,52381	54,5322177018	22,7205137113
117	2,218506101	0,57265	0,257631	63,9400590455	19,3775235509
117,5	2,675461706	0,399267	0,233211	77,1013229867	16,0697631636
118	3,001476816	0,300366	0,238095	86,4882818991	14,3256401075
118,5	3,523635443	0,289377	0,227106	101,516843643	12,2048711873
