Vernier Format 2
Bandlücke-Si.cmbl 26.09.2019 12:56:17 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

36	-55,3810596723	0,583639	0,139194	-1359,30301354	-0,911496544666
36,5	-54,8594354963	0,622711	0,139194	-1350,7036991	-0,917299627467
37	-54,5980889573	0,643468	0,123321	-1346,35308984	-0,920263792127
37,5	-54,3372768693	0,661783	0,136752	-1341,9834512	-0,923260267402
38	-53,7499152203	0,67033	0,130647	-1332,0411227	-0,930151463709
38,5	-53,5543061543	0,654457	0,145299	-1328,69890451	-0,932491172979
39	-52,9669445053	0,688645	0,14652	-1318,57020703	-0,939654174952
39,5	-52,7708009883	0,68254	0,137973	-1315,15691415	-0,942092906684
40	-52,3795828563	0,717949	0,144078	-1308,30294078	-0,947028368877
40,5	-51,9226272513	0,748474	0,145299	-1300,22006723	-0,952915611152
41	-51,6618151633	0,720391	0,144078	-1295,56957883	-0,95633613219
41,5	-51,1396565363	0,746032	0,136752	-1286,17849578	-0,963318858205
42	-50,8783099973	0,76801	0,148962	-1281,43798639	-0,966882528194
42,5	-50,4218888433	0,742369	0,136752	-1273,09517933	-0,973218672191
43	-50,0953392823	0,78022	0,151404	-1267,07665458	-0,977841392246
43,5	-49,5731806553	0,775336	0,150183	-1257,36748291	-0,985392112361
44	-49,2471655453	0,793651	0,157509	-1251,2524552	-0,990207847228
44,5	-48,7250069183	0,802198	0,156288	-1241,37406684	-0,998087549187
45	-48,4641948303	0,803419	0,156288	-1236,40126673	-1,00210185264
45,5	-48,2028482913	0,826618	0,153846	-1231,39257834	-1,00617790118
46	-47,6812241153	0,859585	0,148962	-1221,31919182	-1,01447681188
46,5	-47,4198775763	0,86569	0,131868	-1216,23406102	-1,01871838629
47	-46,8325159273	0,859585	0,139194	-1204,71333369	-1,02846043565
47,5	-46,6369068613	0,862027	0,139194	-1200,8484233	-1,03177051821
48	-46,3103573003	0,886447	0,139194	-1194,36518226	-1,03737116453
48,5	-45,8539361463	0,91453	0,140415	-1185,23853828	-1,04535919141
49	-45,5273865853	0,90232	0,159951	-1178,66263059	-1,05119138237
49,5	-45,0052279583	0,925519	0,179487	-1168,06816872	-1,06072576343
50	-44,7444158703	0,912088	0,213675	-1162,73997462	-1,06558648283
50,5	-44,2222572433	0,918193	0,274725	-1152,00037664	-1,0755204817
51	-43,9614451553	0,915751	0,31746	-1146,60018775	-1,08058590364
51,5	-43,7000986163	0,907204	0,367521	-1141,16510128	-1,08573246642
52	-43,1127369673	0,925519	0,413919	-1128,86357887	-1,09756397779
52,5	-42,9171279013	0,91453	0,45177	-1124,74040558	-1,10158752532
53	-42,3297662523	0,901099	0,515263	-1112,28103164	-1,11392711443
53,5	-42,0689541643	0,886447	0,578755	-1106,71101699	-1,11953344729
54	-41,8076076253	0,876679	0,637363	-1101,10658583	-1,12523166781
54,5	-41,2859834493	0,852259	0,695971	-1089,85226708	-1,13685133061
55	-41,0246369103	0,805861	0,782662	-1084,17955144	-1,142799639
55,5	-40,5024782833	0,770452	0,855922	-1072,778282	-1,15494508119
56	-40,2416661953	0,714286	0,954823	-1067,0500566	-1,16114515185
56,5	-39,7195075683	0,653236	1,04884	-1055,51554308	-1,17383396969
57	-39,3934924583	0,575092	1,16361	-1048,26933598	-1,18194814774
57,5	-39,1973489413	0,45177	1,2906	-1043,89336556	-1,18690283977
58	-38,5453187213	0,351648	1,37485	-1029,25890038	-1,20377875726
58,5	-38,4143782263	0,271062	1,44322	-1026,30387891	-1,2072447795
59	-37,7618135553	0,169719	1,49206	-1011,49740142	-1,22491664166
59,5	-37,6314075113	0,0891331	1,52015	-1008,52273954	-1,22852956252
60	-36,9788428403	0,0634921	1,52259	-993,559065119	-1,24703205224
60,5	-36,7180307523	0,034188	1,49939	-987,542339398	-1,25462975163
61	-36,2610751473	0,00854701	1,43956	-976,951482608	-1,26823084059
61,5	-36,0002630593	0,00732601	1,38462	-970,878744089	-1,27616348338
62	-35,6737134983	0,014652	1,33333	-963,247029305	-1,28627440553
62,5	-35,1515548713	0,01221	1,24786	-950,978866926	-1,30286806899
63	-34,8907427833	0,00732601	1,20147	-944,821422509	-1,31135891977
63,5	-34,4337871783	0,00732601	1,12698	-933,98615553	-1,326572126
64	-34,0425690463	0,00732601	1,07082	-924,662417212	-1,33994847951
64,5	-33,5856134413	0,00976801	1,00488	-913,717432136	-1,35599908289
65	-33,2590638803	0,00854701	0,959707	-905,860281287	-1,36776059796
65,5	-33,0634548143	0,01221	0,904762	-901,139597981	-1,37492570827
66	-32,4760931653	0,00732601	0,864469	-886,9017513	-1,39699803071
66,5	-32,2152810773	0,00610501	0,825397	-880,549606132	-1,40707575288
67	-31,6931224503	0,00732601	0,805861	-867,777600648	-1,4277851826
67,5	-31,4323103623	0,019536	0,78022	-861,371077703	-1,43840446014
68	-30,9101517353	0,02442	0,764347	-848,491400587	-1,46023872386
68,5	-30,6488051963	0,017094	0,720391	-842,018441165	-1,4714642096
69	-30,3879931083	0,00610501	0,700855	-835,5412535	-1,48287112672
69,5	-29,8658344813	0,00610501	0,68254	-822,521711995	-1,50634321494
70	-29,6050223933	0,010989	0,678877	-815,992954018	-1,51839546395
70,5	-29,0176607443	0,029304	0,660562	-801,228161586	-1,5463760005
71	-28,7563142053	0,028083	0,667888	-794,631407497	-1,55921347723
71,5	-28,2346900293	0,00610501	0,653236	-781,41558621	-1,58558393493
72	-27,9733434903	0,019536	0,652015	-774,769712285	-1,59918486791
72,5	-27,4511848633	0,010989	0,642247	-761,443416193	-1,62717277955
73	-27,1251697533	0,00610501	0,649573	-753,090866909	-1,64521979278
73,5	-26,6682141483	0,00732601	0,643468	-741,342627891	-1,67129199561
74	-26,3421990383	0,00732601	0,631258	-732,931977545	-1,69047065479
74,5	-26,1460555213	0,00610501	0,545788	-727,860348842	-1,70224961694
75	-25,5592283233	0,00610501	0,433455	-712,63621994	-1,73861496979
75,5	-25,2978817843	0,00854701	0,290598	-705,831920076	-1,75537541553
76	-24,7757231573	0,00610501	0,199023	-692,193394959	-1,78996218257
76,5	-24,5149110693	0,00610501	0,164835	-685,359512311	-1,80781032107
77	-24,1883615083	0,029304	0,164835	-676,783150421	-1,83071933636
77,5	-23,7319403543	0,018315	0,153846	-664,759120022	-1,86383302264
78	-23,4053907933	0,013431	0,156288	-656,130515722	-1,88834381318
78,5	-22,9489696393	0,019536	0,148962	-644,03459014	-1,92380971297
79	-22,6224200783	0,010989	0,136752	-635,355354742	-1,95008980526
79,5	-22,1002614513	0,010989	0,139194	-621,434333734	-1,99377461582
80	-21,8394493633	0,00732601	0,152625	-614,46154705	-2,01639957122
80,5	-21,3172907363	0,019536	0,157509	-600,463568561	-2,06340578325
81	-21,0564786483	0,021978	0,153846	-593,45299437	-2,08778119203
81,5	-20,5343200213	0,00854701	0,155067	-579,380672393	-2,13849038989
82	-20,2729734823	0,041514	0,14652	-572,319166947	-2,16487594957
82,5	-19,7513493063	0,00732601	0,153846	-558,189582264	-2,2196759656
83	-19,4900027673	0,019536	0,168498	-551,09284284	-2,24826000936
83,5	-19,2291906793	0,03663	0,159951	-543,999185214	-2,27757694069
84	-18,7070320523	0,00854701	0,169719	-529,763607262	-2,3387790007
84,5	-18,4462199643	0,019536	0,168498	-522,636552665	-2,37067230312
85	-17,8588583153	0,00610501	0,168498	-506,546644781	-2,44597415216
85,5	-17,6627147983	0,020757	0,180708	-501,161641552	-2,47225624883
86	-17,3366996883	0,034188	0,181929	-492,198128087	-2,51727897629
86,5	-16,8145410613	0,035409	0,180708	-477,808732736	-2,59308780922
87	-16,5537289733	0,021978	0,169719	-470,606463301	-2,63277302082
87,5	-15,9663673243	0,0537241	0,174603	-454,351118172	-2,72696588705
88	-15,7707582583	0,031746	0,180708	-448,926917128	-2,75991470488
88,5	-15,1833966093	0,043956	0,17094	-432,608302755	-2,86402270162
89	-14,9220500703	0,0549451	0,163614	-425,332619125	-2,91301429585
89,5	-14,3998914433	0,037851	0,150183	-410,769778436	-3,0162881133
90	-14,1390793553	0,046398	0,148962	-403,482959291	-3,07076165541
90,5	-13,6169207283	0,0549451	0,167277	-388,869416241	-3,18615953905
91	-13,3561086403	0,0561661	0,157509	-381,557952761	-3,24721314556
91,5	-12,8339500133	0,0683761	0,157509	-366,896436293	-3,37697474665
92	-12,5731379253	0,040293	0,18315	-359,561693827	-3,44586206281
92,5	-12,3117913863	0,0720391	0,169719	-352,204447883	-3,51784313755
93	-11,7244297373	0,0744811	0,177045	-335,642942578	-3,69142276755
93,5	-11,4636176493	0,0659341	0,179487	-328,277558958	-3,77424519645
94	-10,9414590223	0,0769231	0,188034	-313,511410534	-3,95200926782
94,5	-10,7458499563	0,0854701	0,166056	-307,973002427	-4,02307991361
95	-10,1584883073	0,0952381	0,172161	-291,321333147	-4,25303559687
95,5	-9,89767621933	0,101343	0,167277	-283,917405873	-4,36394519803
96	-9,31031457033	0,0879121	0,18315	-267,222089177	-4,63659274506
96,5	-9,11417105333	0,0964591	0,181929	-261,640514446	-4,73550513621
97	-8,52680940433	0,10989	0,18315	-244,90812879	-5,05903991885
97,5	-8,26599731633	0,120879	0,19536	-237,469923507	-5,21750283868
98	-8,00518522833	0,1221	0,202686	-230,026797625	-5,38632895295
98,5	-7,48302660133	0,139194	0,197802	-215,111124919	-5,75981367986
99	-7,15647704033	0,159951	0,194139	-205,773945611	-6,02117044665
99,5	-6,70005588633	0,14652	0,185592	-192,712156327	-6,42927785988
100	-6,37350632533	0,156288	0,190476	-183,359459151	-6,75721888435
100,5	-5,85134769833	0,148962	0,19536	-168,392077898	-7,35782832225
101	-5,59053561033	0,194139	0,189255	-160,910732015	-7,69992146878
101,5	-5,32972352233	0,186813	0,20757	-153,426051911	-8,07555160657
102	-4,80756489533	0,181929	0,18315	-138,431956294	-8,95024554421
102,5	-4,54621835633	0,196581	0,199023	-130,922839706	-9,46358941485
103	-3,95885670733	0,230769	0,214896	-114,036819236	-10,8649119495
103,5	-3,69804461933	0,257631	0,223443	-106,534802422	-11,6300023263
104	-3,17588599233	0,252747	0,229548	-91,5089180713	-13,5396639597
104,5	-2,91507390433	0,294261	0,2442	-84,0007415539	-14,7498697878
105	-2,39291527733	0,333333	0,261294	-68,9639284661	-17,9659138851
105,5	-2,13210318933	0,438339	0,282051	-61,4509943275	-20,1624076805
106	-1,87075665033	0,537241	0,296703	-53,9213876998	-22,9778952815
106,5	-1,34859802333	0,752137	0,376068	-38,8743685868	-31,8719003045
107	-1,02258291333	1,26496	0,788767	-29,4778908369	-42,0315010614
107,5	-0,565627308333	4,98901	4,98535	-16,3058801362	-75,9848588147
108	-0,239612198333	4,99023	4,99023	-6,90762239022	-179,367071621
108,5	0,282546428667	4,99023	4,99145	8,14533579302	152,111592632
109	0,543358516667	4,99023	4,99023	15,6639359908	79,0988931983
109,5	0,804705055667	4,99023	4,99023	23,1976174796	53,4106574129
110	1,39206670467	4,99023	2,03052	40,1271438315	30,8768549589
110,5	1,58767577067	2,03297	0,663004	45,7643362034	27,0734834762
111	2,17503741967	0,691087	0,299145	62,6878463689	19,7645966765
111,5	2,37064648567	0,449328	0,241758	68,3225088623	18,1345799595
112	2,95800813467	0,376068	0,221001	85,236842533	14,5359678184
