Vernier Format 2
Bandlücke-Ge1.cmbl 26.09.2019 16:22:46 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

37	-49,72532104	0,527473	0,037851	-2521,92733975	-0,491290918843
37,5	-49,268365435	0,512821	0,01221	-2504,8052481	-0,494649235082
38	-48,942350325	0,532357	0,025641	-2492,4920406	-0,497092861207
38,5	-48,681538237	0,542125	0,014652	-2482,58335282	-0,499076898503
39	-48,15937961	0,556777	0,015873	-2462,59129172	-0,503128555748
39,5	-47,898033071	0,595849	0,015873	-2452,50812331	-0,505197103416
40	-47,637220983	0,594628	0,019536	-2442,3947044	-0,50728901343
40,5	-47,115062356	0,59707	0,020757	-2421,99526825	-0,511561693055
41	-46,789047246	0,636142	0,043956	-2409,1565581	-0,514287872175
41,5	-46,592903729	0,666667	0,023199	-2401,39467753	-0,515950173287
42	-46,00554208	0,691087	0,034188	-2377,9833784	-0,521029714192
42,5	-45,809933014	0,695971	0,025641	-2370,13111986	-0,522755888743
43	-45,352977409	0,673993	0,023199	-2351,68024335	-0,526857341045
43,5	-44,961759277	0,713065	0,035409	-2335,76480703	-0,530447242064
44	-44,635209716	0,724054	0,019536	-2322,39678511	-0,533500566288
44,5	-44,178788562	0,739927	0,037851	-2303,58587478	-0,537857092095
45	-43,852239001	0,746032	0,047619	-2290,03770759	-0,541039126077
45,5	-43,656629935	0,763126	0,030525	-2281,88645804	-0,542971801088
46	-43,069268286	0,789988	0,047619	-2257,25098681	-0,548897755386
46,5	-42,808456198	0,798535	0,034188	-2246,23564406	-0,551589501874
47	-42,547109659	0,791209	0,019536	-2235,15104178	-0,554324954708
47,5	-42,024951032	0,802198	0,026862	-2212,86546019	-0,559907514619
48	-41,764138944	0,808303	0,00854701	-2201,66513267	-0,562755880363
48,5	-41,503326856	0,830281	0,02442	-2190,41918458	-0,565645155376
49	-40,981168229	0,833944	0,039072	-2167,76808304	-0,57155560583
49,5	-40,71982169	0,820513	0,03663	-2156,36321466	-0,574578527206
50	-40,459009602	0,802198	0,041514	-2144,93694131	-0,577639359059
50,5	-39,936850975	0,772894	0,0512821	-2121,92765559	-0,583903035873
51	-39,610835865	0,748474	0,00732601	-2107,47208289	-0,587908143628
51,5	-39,414692348	0,705739	0,029304	-2098,74213687	-0,590353611447
52	-38,827330699	0,647131	0,021978	-2072,45317557	-0,597842216465
52,5	-38,631721633	0,620269	0,021978	-2063,64968133	-0,600392601131
53	-38,305706523	0,628816	0,032967	-2048,92379076	-0,604707703424
53,5	-37,783547896	0,620269	0,043956	-2025,20021595	-0,611791362772
54	-37,456998335	0,603175	0,010989	-2010,27826385	-0,616332585533
54,5	-37,000577181	0,628816	0,026862	-1989,31241148	-0,622828266115
55	-36,67402762	0,661783	0,046398	-1974,23470711	-0,627584955091
55,5	-36,478418554	0,648352	0,028083	-1965,17214691	-0,630479117033
56	-35,891056905	0,665446	0,023199	-1937,82248037	-0,639377452037
56,5	-35,695447839	0,666667	0,020757	-1928,6688745	-0,642411984963
57	-35,368898278	0,721612	0,00732601	-1913,33782003	-0,647559457106
57,5	-34,911942673	0,749695	0,047619	-1891,78015689	-0,654938680633
58	-34,520724541	0,781441	0,041514	-1873,22811056	-0,661425051768
58,5	-34,324581024	0,826618	0,047619	-1863,89381929	-0,664737436852
59	-34,063768936	0,882784	0,029304	-1851,44819478	-0,669205870027
59,5	-33,541610309	0,960928	0,00854701	-1826,41641424	-0,678377608928
60	-33,215595199	1,04029	0,031746	-1810,71051119	-0,684261781408
60,5	-33,019451682	1,11355	0,026862	-1801,23294388	-0,687862169194
61	-32,432624484	1,18193	0,040293	-1772,75210478	-0,69891328667
61,5	-32,171277945	1,24542	0,04884	-1760,00798586	-0,7039740785
62	-31,910465857	1,27839	0,015873	-1747,25342198	-0,709112933712
62,5	-31,453510252	1,38706	0,03663	-1724,8196743	-0,718335961991
63	-31,127495142	1,45543	0,031746	-1708,74716906	-0,725092642396
63,5	-30,605336515	1,55433	0,014652	-1682,88976774	-0,73623360469
64	-30,278786954	1,62027	0,029304	-1666,64779329	-0,743408418375
64,5	-30,083177888	1,70574	0,026862	-1656,89259695	-0,747785343647
